task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
block_stack,act,identity,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,act,resample,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,act,all_blank,285,17.7367,35.7436,22.0453,22.2625,12.8018,12.1054,20.4492,27.5161,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,act,state_mean,285,0.2377,0.3202,0.2901,0.2715,0.2143,0.1665,0.25,0.3523,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,act,state_noise_0.5sd,285,0.1481,0.1519,0.1443,0.124,0.1318,0.093,0.1322,0.1918,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,act,state_noise_1sd,285,0.243,0.2521,0.2364,0.2006,0.2191,0.1569,0.218,0.3165,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,act,state_gripper_1sd,285,0.0883,0.2045,0.0802,0.1388,0.0667,0.2062,0.1308,0.18,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,act,task_blank,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,act,task_other,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149,1.1156,0.7625,0.8152,0.5568,0.6242,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,identity,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,resample,285,0.3574,0.6205,0.6104,0.6217,0.24,0.3218,0.462,0.7684,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,all_blank,285,2.2762,5.0819,3.7954,2.55,2.1754,3.2773,3.1927,5.3369,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,state_mean,285,13.7346,33.1209,19.361,20.3485,10.9458,9.7667,17.8796,28.9218,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,state_noise_0.5sd,285,7.0031,9.5662,7.546,7.1903,5.8272,3.5708,6.7839,11.8308,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,state_noise_1sd,285,12.792,18.3615,14.0235,13.5734,10.557,6.3635,12.6118,21.8386,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,state_gripper_1sd,285,0.9134,1.6906,1.5399,1.1961,1.0162,10.7438,2.85,5.2019,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,task_blank,285,1.4183,2.6511,3.4573,1.7025,1.7744,1.8777,2.1469,3.667,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
block_stack,smolvla,task_other,285,1.3191,2.9352,2.2945,1.5822,1.4004,1.4055,1.8228,3.0429,0.389,1.0593,0.6711,0.6324,0.4016,0.5228,18.532,39.531,24.429,23.695,15.48,13.66,18.556,39.234,23.304,24.671,15.08,10.821
