task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
cable_clip,act,identity,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,act,resample,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,act,all_blank,576,14.0926,47.2618,38.095,17.2985,36.6135,15.0131,28.0624,38.5009,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,act,state_mean,576,6.7948,15.5956,16.443,9.7183,23.8818,5.5962,13.0049,17.6924,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,act,state_noise_0.5sd,576,2.4457,4.5398,5.4046,3.4643,6.2825,1.8682,4.0008,5.6052,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,act,state_noise_1sd,576,4.1911,7.6804,9.0762,5.9296,10.9791,3.2005,6.8428,9.5901,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,act,state_gripper_1sd,576,0.7223,1.291,1.2135,0.7139,2.1035,5.9043,1.9914,3.719,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,act,task_blank,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,act,task_other,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4169,0.8819,0.9855,0.5792,0.9548,0.4086,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,identity,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,resample,576,0.3683,1.0399,1.0004,0.7472,0.5367,0.2039,0.6494,1.0766,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,all_blank,576,1.8033,3.6813,3.7294,1.9303,3.2263,2.4648,2.8059,5.0512,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,state_mean,576,12.8925,35.2726,33.7948,12.4194,41.8358,11.3017,24.5862,39.8605,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,state_noise_0.5sd,576,5.7497,18.0472,14.7285,6.0375,17.0065,4.4328,11.0004,17.6807,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,state_noise_1sd,576,10.4516,32.5731,26.0752,10.9667,31.0414,7.9347,19.8405,31.9085,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,state_gripper_1sd,576,1.0327,1.5018,1.7109,0.9556,1.6639,10.012,2.8128,7.0868,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,task_blank,576,1.2305,2.9001,4.1456,1.3248,2.8848,1.0469,2.2554,3.6784,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
cable_clip,smolvla,task_other,576,0.7903,1.5603,1.9593,1.0086,1.8817,0.5984,1.2998,2.1754,0.3526,0.7874,0.8145,0.4944,0.751,0.3185,17.216,47.874,45.776,16.521,51.801,13.077,17.159,47.796,46.858,16.402,51.815,12.394
