task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
cable_unclip,act,identity,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,act,resample,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,act,all_blank,248,14.8356,45.7372,41.4373,12.9763,70.8694,6.7725,32.1047,36.0563,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,act,state_mean,248,0.0076,0.0206,0.0246,0.0143,0.0241,0.0066,0.0163,0.0198,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,act,state_noise_0.5sd,248,0.0052,0.0136,0.0115,0.007,0.0138,0.004,0.0092,0.0115,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,act,state_noise_1sd,248,0.0095,0.0238,0.0194,0.0141,0.0248,0.0079,0.0166,0.0212,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,act,state_gripper_1sd,248,0.0078,0.0177,0.0187,0.0136,0.0198,0.0077,0.0142,0.0184,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,act,task_blank,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,act,task_other,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3936,1.2423,1.2449,0.789,1.01,0.309,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,identity,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,resample,248,0.1958,0.5258,0.5152,0.4772,0.8738,0.1584,0.4577,0.6397,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,all_blank,248,1.8241,5.5513,5.4356,2.4597,4.7879,2.7025,3.7935,5.7558,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,state_mean,248,10.751,43.7351,37.9779,11.4236,44.4334,6.3117,25.7721,33.4607,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,state_noise_0.5sd,248,3.999,14.1633,11.1321,5.403,15.8712,3.3941,8.9938,12.3789,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,state_noise_1sd,248,7.5848,27.4158,20.852,9.9814,30.9743,6.5659,17.229,23.7012,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,state_gripper_1sd,248,1.842,2.3504,2.4544,1.6824,2.1085,6.3417,2.7966,6.1698,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,task_blank,248,1.3195,3.4541,3.786,1.7921,3.0599,0.7347,2.3577,3.2716,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
cable_unclip,smolvla,task_other,248,1.1596,2.4392,1.9286,1.2459,2.7269,0.4371,1.6562,2.3599,0.3317,1.0466,1.0225,0.6926,0.8701,0.2887,12.914,48.822,44.076,15.132,54.03,7.617,11.986,49.016,44.124,14.808,54.108,11.789
