task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
eye_drops_to_basket,act,identity,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,act,resample,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,act,all_blank,207,15.773,52.7885,55.5275,17.5056,11.9128,11.75,27.5429,29.2349,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,act,state_mean,207,0.0061,0.01,0.0103,0.0071,0.0119,0.0038,0.0082,0.0099,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,act,state_noise_0.5sd,207,0.0036,0.0048,0.0051,0.0044,0.0049,0.0018,0.0041,0.0049,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,act,state_noise_1sd,207,0.0057,0.0077,0.0084,0.0075,0.0081,0.0031,0.0067,0.0082,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,act,state_gripper_1sd,207,0.0047,0.0055,0.0072,0.0056,0.0066,0.004,0.0056,0.0068,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,act,task_blank,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,act,task_other,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629,1.1665,1.1297,0.7756,0.6553,0.7139,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,identity,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,resample,207,0.2238,0.8061,0.6404,0.5739,0.235,0.3663,0.4742,0.5621,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,all_blank,207,2.7753,5.756,7.5392,2.4822,2.0456,3.9454,4.0906,4.7995,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,state_mean,207,11.6671,48.4553,47.0896,11.6966,10.3645,10.8631,23.356,25.7675,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,state_noise_0.5sd,207,5.3583,11.6838,13.0018,4.5864,5.2617,3.4601,7.2254,8.5491,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,state_noise_1sd,207,10.5244,23.7209,25.9502,8.8059,9.8948,7.1759,14.3454,16.8725,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,state_gripper_1sd,207,1.4323,1.5071,1.3992,0.8406,1.098,4.2458,1.7538,2.2572,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,task_blank,207,1.2406,2.1084,2.7553,1.4225,0.9704,1.6535,1.6918,2.0465,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
eye_drops_to_basket,smolvla,task_other,207,0.4045,0.8024,0.9072,0.4267,0.4419,0.542,0.5875,0.7154,0.6607,1.132,1.0546,0.708,0.5514,0.7666,19.181,52.838,53.232,15.646,16.761,15.749,20.11,52.076,54.29,15.787,17.09,14.75
