task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
eye_drops_to_shelf,act,identity,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,act,resample,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,act,all_blank,250,16.254,48.3331,49.6534,15.0209,16.6025,10.0349,25.9831,21.6228,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,act,state_mean,250,0.0039,0.007,0.0089,0.0057,0.0064,0.0029,0.0058,0.0054,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,act,state_noise_0.5sd,250,0.0021,0.0034,0.0038,0.0021,0.0032,0.0011,0.0026,0.0024,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,act,state_noise_1sd,250,0.0038,0.0069,0.0075,0.0044,0.0058,0.0021,0.0051,0.0046,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,act,state_gripper_1sd,250,0.0024,0.0032,0.0028,0.0023,0.0039,0.0013,0.0026,0.0026,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,act,task_blank,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,act,task_other,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9065,1.7814,1.7847,1.0356,0.9419,0.4059,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,identity,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,resample,250,0.401,0.653,0.7317,0.4601,0.329,0.2019,0.4628,0.5971,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,all_blank,250,2.833,7.0364,7.2484,3.1023,2.5055,2.6401,4.2276,5.4507,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,state_mean,250,15.2283,40.7198,39.6147,10.5097,14.4954,6.5538,21.1869,24.6283,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,state_noise_0.5sd,250,5.9456,12.5272,11.739,4.085,6.3238,2.0454,7.111,8.6142,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,state_noise_1sd,250,11.6878,24.2622,22.8792,7.6947,12.0957,4.6316,13.8752,16.9938,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,state_gripper_1sd,250,1.3543,2.153,1.6085,0.8778,1.1116,3.5259,1.7718,3.1971,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,task_blank,250,1.2258,2.0229,2.6531,1.6539,1.3147,1.1147,1.6642,2.2922,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
eye_drops_to_shelf,smolvla,task_other,250,1.3392,2.6588,2.7229,1.4303,1.0729,0.6877,1.6519,2.0663,0.6572,1.2825,1.2634,0.684,0.5605,0.3234,21.298,49.044,48.089,15.811,23.803,13.004,22.15,49.014,49.357,14.484,23.714,12.976
