task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
ring_insert,act,identity,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,act,resample,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,act,all_blank,257,10.1995,29.682,29.1087,22.2511,6.1259,4.2424,16.9349,25.419,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,act,state_mean,257,4.1445,11.7591,10.3804,10.6045,5.0438,1.6165,7.2581,11.7024,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,act,state_noise_0.5sd,257,1.7986,3.0052,3.2099,3.4358,2.6323,0.5705,2.4421,4.4666,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,act,state_noise_1sd,257,3.0269,5.343,5.7784,5.9802,4.328,1.0261,4.2471,7.651,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,act,state_gripper_1sd,257,0.5462,1.199,0.9155,0.8868,0.734,1.6943,0.996,2.2296,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,act,task_blank,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,act,task_other,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307,1.3203,0.972,0.6939,0.3155,0.2758,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,identity,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,resample,257,0.2161,1.076,0.4632,0.8321,0.1762,0.1978,0.4936,0.8308,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,all_blank,257,1.6743,5.1399,4.3315,3.9448,1.1504,1.8611,3.017,5.4962,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,state_mean,257,9.416,31.8552,26.4527,17.4847,6.6183,3.5118,15.8898,26.1232,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,state_noise_0.5sd,257,4.0327,10.3216,9.0084,6.9441,3.7717,1.3403,5.9032,10.6523,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,state_noise_1sd,257,7.4885,19.8937,17.0812,12.9173,6.6362,2.4547,11.0786,19.6858,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,state_gripper_1sd,257,0.6193,1.7059,1.5442,1.4181,1.0597,3.3307,1.613,4.0932,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,task_blank,257,1.0378,2.7198,3.2413,1.6042,0.9671,0.888,1.743,3.2206,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
ring_insert,smolvla,task_other,257,0.949,2.4321,1.9456,1.2867,0.8755,0.5799,1.3448,2.5372,0.321,1.1692,0.8622,0.6036,0.2439,0.2626,13.426,36.825,33.159,21.427,9.765,6.259,13.483,36.584,31.802,22.193,9.467,5.012
