task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
tool_insert,act,identity,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,act,resample,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,act,all_blank,441,33.4285,45.0963,38.499,27.6245,47.1814,4.1754,32.6675,34.7161,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,act,state_mean,441,0.0213,0.0491,0.0526,0.0296,0.0327,0.0065,0.032,0.0339,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,act,state_noise_0.5sd,441,0.0121,0.0216,0.022,0.02,0.0228,0.0036,0.017,0.0182,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,act,state_noise_1sd,441,0.0208,0.034,0.0353,0.0358,0.0372,0.0059,0.0282,0.0304,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,act,state_gripper_1sd,441,0.0131,0.0275,0.0155,0.0294,0.0188,0.0021,0.0177,0.0187,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,act,task_blank,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,act,task_other,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6361,1.2525,0.9908,0.8936,1.2258,0.3638,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,identity,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,resample,441,0.5382,0.8551,1.1386,1.0926,0.3771,0.1187,0.6867,1.1514,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,all_blank,441,2.1342,4.7408,3.8242,2.7364,3.3278,1.8931,3.1094,5.952,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,state_mean,441,13.4915,32.8102,28.2092,11.0009,27.2946,3.7533,19.4266,31.5985,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,state_noise_0.5sd,441,7.1389,13.8593,10.1335,5.4727,11.2692,1.6647,8.2564,13.8614,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,state_noise_1sd,441,12.9193,24.7228,18.337,9.6721,20.8992,2.9856,14.9227,25.052,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,state_gripper_1sd,441,0.6897,1.5116,1.1871,1.2419,1.4339,4.5318,1.766,5.5628,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,task_blank,441,1.7077,3.2093,3.3098,1.4967,1.9109,0.8606,2.0825,3.7561,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
tool_insert,smolvla,task_other,441,1.3403,2.8,2.9592,1.5893,2.7038,0.6888,2.0136,3.4956,0.3582,0.8639,0.7716,0.6204,0.6872,0.1882,19.871,41.622,34.532,14.704,34.166,6.293,19.853,41.06,33.537,14.801,34.0,5.513
