task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
tool_removal,act,identity,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,act,resample,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,act,all_blank,343,7.879,38.5119,38.3774,11.9832,31.1814,3.7801,21.9522,21.469,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,act,state_mean,343,0.0399,0.0752,0.0835,0.0846,0.0811,0.0969,0.0768,0.0962,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,act,state_noise_0.5sd,343,0.0207,0.0425,0.0386,0.044,0.0674,0.0552,0.0447,0.054,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,act,state_noise_1sd,343,0.0317,0.0667,0.0677,0.0694,0.1139,0.0878,0.0729,0.087,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,act,state_gripper_1sd,343,0.046,0.0962,0.1008,0.0951,0.1351,0.1288,0.1003,0.1229,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,act,task_blank,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,act,task_other,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257,1.1421,0.98,0.8604,1.6316,0.4781,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,identity,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,resample,343,0.2188,0.6853,0.5907,0.6011,0.775,0.228,0.5165,0.7837,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,all_blank,343,1.5602,4.9865,4.1555,2.3179,6.6327,2.2015,3.6424,5.4084,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,state_mean,343,7.4116,41.0947,36.3189,11.0831,30.7308,3.8146,21.7423,29.3905,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,state_noise_0.5sd,343,3.3159,13.8687,12.4033,6.1791,11.4382,1.8267,8.172,11.5258,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,state_noise_1sd,343,5.8343,25.5798,23.354,11.0052,20.4647,3.1537,14.8986,20.916,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,state_gripper_1sd,343,0.6867,2.2996,1.3417,1.2486,2.6633,3.4709,1.9518,3.5559,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,task_blank,343,1.5098,5.0232,5.1597,2.9226,4.2243,1.0442,3.314,4.886,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
tool_removal,smolvla,task_other,343,1.1633,3.6466,3.3826,1.9876,3.4386,1.0919,2.4518,3.6705,0.378,0.8917,0.7247,0.5161,1.106,0.3382,9.831,48.172,41.193,18.99,35.232,5.685,9.538,47.448,38.855,19.194,34.73,5.105
