task,policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper,state_sd_shoulder_pan,state_sd_shoulder_lift,state_sd_elbow_flex,state_sd_wrist_flex,state_sd_wrist_roll,state_sd_gripper
eye_drops_to_basket,act,identity,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,act,resample,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,act,all_blank,5,12.8199,53.0459,51.6114,17.4363,6.652,9.7943,25.2266,25.9572,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,act,state_mean,5,0.0057,0.0075,0.0101,0.0037,0.0045,0.0007,0.0053,0.0052,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,act,state_noise_0.5sd,5,0.002,0.0064,0.0071,0.0021,0.0013,0.0003,0.0032,0.0028,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,act,state_noise_1sd,5,0.0048,0.0102,0.0107,0.0034,0.0017,0.0004,0.0052,0.0047,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,act,state_gripper_1sd,5,0.0029,0.0077,0.0106,0.0035,0.0033,0.0006,0.0048,0.0045,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,act,task_blank,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,act,task_other,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9781,1.4532,1.7973,0.4713,0.9662,0.2921,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,identity,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,resample,5,0.2244,0.9658,0.9831,0.6583,0.1727,0.3198,0.554,0.6891,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,all_blank,5,1.9072,8.1347,7.8125,1.3939,2.3831,2.3573,3.9981,3.9264,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,state_mean,5,10.6143,41.6916,39.6759,9.062,5.2517,5.8473,18.6905,16.4407,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,state_noise_0.5sd,5,2.3304,4.1813,7.8276,1.7171,2.5207,0.9058,3.2471,2.9865,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,state_noise_1sd,5,6.0201,5.1164,15.2484,3.7293,5.002,1.9254,6.1736,6.0867,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,state_gripper_1sd,5,1.5809,1.7859,1.5713,0.7515,1.1476,1.487,1.3874,1.8913,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,task_blank,5,0.3554,3.9354,4.5126,0.8536,2.0234,0.5647,2.0409,1.7309,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
eye_drops_to_basket,smolvla,task_other,5,0.3096,1.1429,1.028,0.1943,0.4937,0.2098,0.5631,0.5054,0.9829,1.9884,2.1308,0.3878,1.1469,0.2879,14.753,46.219,46.852,12.951,7.406,14.618,16.896,43.987,49.634,10.68,7.211,14.118
