episode,policy,outcome,frames,median_off,max_off,left_manifold_at,frac_off,reached_phase,ended_at_phase,deepest_at,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
1889,diffusion,failure,919,0.49,0.97,0.202,0.001,0.915,0.159,0.001,0.48,0.64,0.48,0.44,0.49,0.42,0.48,0.51,0.46,0.48
1890,diffusion,failure,925,0.61,0.86,,0.0,0.933,0.204,0.003,0.08,0.63,0.68,0.65,0.66,0.64,0.66,0.57,0.53,0.39
1891,diffusion,failure,917,0.67,1.04,0.271,0.007,0.913,0.655,0.0,0.12,0.69,0.73,0.51,0.67,0.61,0.72,0.69,0.66,0.78
1892,diffusion,failure,882,0.35,0.71,,0.0,0.924,0.2,0.003,0.08,0.43,0.09,0.42,0.43,0.41,0.09,0.41,0.46,0.38
1893,diffusion,failure,874,0.68,0.87,,0.0,0.914,0.583,0.0,0.14,0.71,0.76,0.63,0.67,0.61,0.64,0.71,0.73,0.74
1894,diffusion,failure,831,0.57,0.85,,0.0,0.649,0.587,0.005,0.12,0.62,0.67,0.53,0.65,0.56,0.56,0.65,0.53,0.58
1895,diffusion,failure,859,0.08,0.24,,0.0,0.067,0.019,0.298,0.08,0.07,0.07,0.09,0.08,0.09,0.08,0.08,0.07,0.08
1896,diffusion,failure,879,0.08,0.25,,0.0,0.067,0.023,0.554,0.08,0.07,0.07,0.07,0.09,0.08,0.07,0.09,0.07,0.07
1897,diffusion,failure,849,0.07,0.19,,0.0,0.067,0.032,0.015,0.08,0.08,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07
1898,diffusion,failure,885,0.14,0.98,0.436,0.007,0.955,0.075,0.079,0.08,0.08,0.21,0.51,0.71,0.09,0.07,0.08,0.2,0.61
1899,diffusion,failure,891,0.42,0.71,,0.0,0.947,0.624,0.0,0.16,0.42,0.46,0.47,0.31,0.36,0.21,0.42,0.45,0.5
1900,diffusion,failure,863,0.29,0.83,,0.0,0.79,0.283,0.001,0.23,0.24,0.23,0.29,0.46,0.32,0.42,0.33,0.28,0.29
1901,diffusion,failure,888,0.33,0.65,,0.0,0.946,0.338,0.0,0.13,0.39,0.43,0.4,0.1,0.21,0.42,0.45,0.28,0.19
1902,diffusion,failure,895,0.43,0.75,,0.0,0.745,0.284,0.001,0.18,0.29,0.41,0.42,0.5,0.48,0.5,0.38,0.46,0.5
1903,diffusion,failure,899,0.31,0.55,,0.0,0.745,0.493,0.0,0.08,0.23,0.33,0.3,0.42,0.34,0.33,0.33,0.33,0.22
1904,diffusion,failure,933,0.3,0.59,,0.0,0.813,0.231,0.002,0.09,0.25,0.38,0.26,0.42,0.31,0.45,0.37,0.24,0.19
1905,diffusion,failure,933,0.37,0.91,,0.0,0.91,0.277,0.0,0.21,0.22,0.38,0.35,0.48,0.34,0.39,0.46,0.5,0.54
1906,diffusion,failure,927,0.29,0.64,,0.0,0.896,0.205,0.003,0.24,0.26,0.3,0.5,0.28,0.29,0.26,0.31,0.31,0.24
1907,diffusion,failure,930,0.23,0.58,,0.0,0.151,0.112,0.0,0.21,0.18,0.22,0.31,0.39,0.26,0.23,0.21,0.2,0.18
