episode,policy,outcome,frames,median_off,max_off,left_manifold_at,frac_off,reached_phase,ended_at_phase,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
1599,diffusion,successful,164,0.23,0.55,,0.0,0.871,0.817,0.15,0.24,0.26,0.24,0.24,0.27,0.37,0.26,0.15,0.07
1600,diffusion,failure,425,0.2,0.54,,0.0,0.906,0.74,0.11,0.29,0.29,0.11,0.19,0.23,0.33,0.35,0.06,0.15
1601,diffusion,failure,419,0.24,0.65,,0.0,0.939,0.685,0.2,0.28,0.36,0.26,0.09,0.26,0.27,0.37,0.09,0.1
1602,diffusion,failure,412,0.28,0.73,,0.0,0.863,0.739,0.17,0.43,0.32,0.15,0.15,0.31,0.37,0.34,0.3,0.09
1603,diffusion,failure,433,0.23,0.58,,0.0,0.889,0.233,0.14,0.38,0.41,0.18,0.12,0.25,0.27,0.07,0.16,0.25
1604,diffusion,successful,161,0.24,0.75,,0.0,0.903,0.818,0.16,0.1,0.34,0.43,0.35,0.24,0.32,0.17,0.15,0.07
1605,diffusion,successful,304,0.24,0.64,,0.0,0.863,0.584,0.12,0.42,0.32,0.36,0.14,0.06,0.16,0.35,0.28,0.22
1606,diffusion,failure,420,0.22,0.67,,0.0,0.912,0.186,0.17,0.43,0.26,0.09,0.1,0.46,0.33,0.12,0.09,0.5
1607,diffusion,successful,193,0.22,0.55,,0.0,0.897,0.849,0.13,0.19,0.31,0.41,0.28,0.34,0.24,0.15,0.08,0.06
1608,diffusion,failure,281,0.23,0.84,,0.0,0.889,0.268,0.12,0.4,0.58,0.32,0.37,0.12,0.04,0.12,0.27,0.37
1609,diffusion,successful,178,0.21,0.54,,0.0,0.943,0.845,0.12,0.1,0.29,0.45,0.34,0.26,0.29,0.24,0.13,0.05
1610,diffusion,successful,187,0.24,0.63,,0.0,0.903,0.853,0.09,0.18,0.54,0.42,0.24,0.34,0.39,0.2,0.07,0.04
1611,diffusion,successful,132,0.28,0.47,,0.0,0.834,0.633,0.12,0.07,0.17,0.36,0.36,0.31,0.23,0.36,0.31,0.31
1612,diffusion,successful,143,0.24,0.58,,0.0,0.817,0.697,0.13,0.1,0.25,0.28,0.42,0.36,0.24,0.23,0.27,0.2
