task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
block_stack,act,identity,all,545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,resample,all,545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,shift_1px,all,545,0.21,0.289,0.258,0.265,0.238,0.208,0.245,0.298,0.274,0.0037,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,front_aspect_4_3,all,545,1.227,2.547,2.034,1.306,1.089,0.913,1.519,1.772,1.204,0.0202,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,front_shift_x_20,all,545,0.424,0.589,0.508,0.532,0.501,0.404,0.493,0.601,0.532,0.0092,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,front_shift_x_40,all,545,0.341,0.503,0.438,0.433,0.445,0.337,0.416,0.507,0.444,0.0055,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,front_shift_x_80,all,545,0.445,0.572,0.525,0.464,0.474,0.352,0.472,0.576,0.464,0.0055,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,front_shift_y_40,all,545,0.504,0.642,0.574,0.68,0.572,0.416,0.565,0.69,0.549,0.011,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,front_zoom_out_10pct,all,545,0.828,1.538,1.177,0.993,0.905,0.675,1.019,1.21,0.89,0.0202,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,act,front_zoom_in_10pct,all,545,0.771,1.278,0.871,1.035,0.899,0.658,0.919,1.104,0.867,0.0147,0.663,1.227,0.859,0.849,0.681,0.758,18.83,41.02,25.23,24.1,15.24,13.57
