task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
block_stack,smolvla,identity,all,545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,resample,all,545,0.345,0.609,0.623,0.619,0.215,0.306,0.453,0.712,0.505,0.0055,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,shift_1px,all,545,0.158,0.224,0.209,0.172,0.148,0.204,0.186,0.31,0.336,0.0018,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,front_aspect_4_3,all,545,0.534,0.772,0.667,0.587,0.53,0.769,0.643,1.076,1.267,0.0128,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,front_shift_x_20,all,545,0.359,0.594,0.504,0.443,0.431,0.536,0.478,0.8,0.883,0.0092,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,front_shift_x_40,all,545,0.462,0.726,0.648,0.593,0.537,0.758,0.621,1.04,1.249,0.0147,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,front_shift_x_80,all,545,0.634,0.891,0.785,0.727,0.703,0.866,0.768,1.301,1.428,0.0183,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,front_shift_y_40,all,545,0.627,0.9,0.877,0.636,0.6,0.726,0.727,1.213,1.196,0.0165,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,front_zoom_out_10pct,all,545,0.528,0.86,0.76,0.637,0.531,0.728,0.674,1.113,1.199,0.0165,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
block_stack,smolvla,front_zoom_in_10pct,all,545,0.476,0.741,0.633,0.492,0.471,0.654,0.578,0.96,1.078,0.0128,0.472,1.061,0.672,0.652,0.369,0.607,18.83,41.02,25.23,24.1,15.24,13.57
