task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
cable_clip,act,identity,all,1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,resample,all,1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,shift_1px,all,1126,0.15,0.308,0.36,0.175,0.372,0.115,0.247,0.295,0.265,0.0044,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,front_aspect_4_3,all,1126,0.611,1.325,1.437,0.731,1.67,0.54,1.052,1.263,1.249,0.0133,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,front_shift_x_20,all,1126,0.236,0.475,0.544,0.302,0.67,0.228,0.409,0.497,0.526,0.0115,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,front_shift_x_40,all,1126,0.207,0.416,0.477,0.261,0.569,0.192,0.354,0.429,0.443,0.008,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,front_shift_x_80,all,1126,0.238,0.456,0.515,0.305,0.643,0.227,0.397,0.487,0.525,0.0115,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,front_shift_y_40,all,1126,0.266,0.535,0.604,0.311,0.676,0.245,0.439,0.535,0.566,0.008,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,front_zoom_out_10pct,all,1126,0.385,0.741,0.928,0.449,1.004,0.344,0.642,0.776,0.794,0.0115,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,act,front_zoom_in_10pct,all,1126,0.4,0.783,0.819,0.452,1.037,0.334,0.637,0.774,0.771,0.016,0.447,1.138,1.181,0.682,1.109,0.433,17.51,44.91,43.32,16.76,52.29,12.99
