task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
cable_clip,smolvla,identity,all,1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,resample,all,1126,0.376,1.052,1.021,0.776,0.563,0.206,0.666,1.016,0.665,0.0115,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,shift_1px,all,1126,0.15,0.29,0.316,0.162,0.3,0.119,0.223,0.354,0.386,0.0036,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_aspect_4_3,all,1126,0.486,0.996,1.138,0.553,0.989,0.467,0.772,1.235,1.51,0.0142,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_shift_x_20,all,1126,0.403,0.847,0.971,0.489,0.808,0.441,0.66,1.068,1.425,0.0115,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_shift_x_40,all,1126,0.463,0.943,1.113,0.534,0.964,0.47,0.748,1.201,1.519,0.0133,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_shift_x_80,all,1126,0.597,1.068,1.342,0.614,1.12,0.547,0.881,1.423,1.768,0.0204,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_shift_y_40,all,1126,0.599,1.208,1.597,0.667,1.276,0.53,0.979,1.537,1.714,0.0195,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_zoom_out_10pct,all,1126,0.476,1.082,1.236,0.578,1.06,0.477,0.818,1.292,1.543,0.0195,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_zoom_in_10pct,all,1126,0.47,0.895,1.067,0.492,0.908,0.398,0.705,1.123,1.288,0.0142,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_rotate_5deg,all,1126,0.457,1.005,1.262,0.544,0.999,0.427,0.783,1.224,1.381,0.0151,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,front_blank,all,1126,0.976,2.428,2.247,1.125,2.055,0.858,1.615,2.526,2.773,0.0204,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
