task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
cable_unclip,act,identity,all,477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,resample,all,477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,shift_1px,all,477,0.155,0.313,0.344,0.239,0.353,0.097,0.25,0.244,0.207,0.0021,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,front_aspect_4_3,all,477,1.62,3.159,2.886,1.348,1.829,0.563,1.901,1.866,1.201,0.0189,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,front_shift_x_20,all,477,0.299,0.604,0.623,0.451,0.618,0.164,0.46,0.449,0.35,0.0042,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,front_shift_x_40,all,477,0.256,0.53,0.541,0.369,0.561,0.152,0.402,0.392,0.325,0.0042,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,front_shift_x_80,all,477,0.304,0.677,0.631,0.425,0.641,0.172,0.475,0.46,0.366,0.0042,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,front_shift_y_40,all,477,0.332,0.629,0.707,0.531,0.749,0.218,0.528,0.522,0.464,0.0147,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,front_zoom_out_10pct,all,477,0.669,1.291,1.158,0.748,1.149,0.305,0.887,0.875,0.651,0.0126,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,act,front_zoom_in_10pct,all,477,0.935,1.274,1.182,0.761,1.22,0.307,0.946,0.979,0.654,0.0084,0.489,1.586,1.56,0.943,1.303,0.469,12.88,47.57,41.72,14.64,54.11,7.69
