task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
cable_unclip,smolvla,identity,all,477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,resample,all,477,0.194,0.537,0.519,0.513,0.92,0.144,0.471,0.57,0.35,0.0042,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,shift_1px,all,477,0.149,0.332,0.309,0.189,0.362,0.133,0.246,0.316,0.322,0.0042,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,front_aspect_4_3,all,477,0.47,1.186,1.186,0.729,1.171,0.566,0.884,1.138,1.375,0.0189,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,front_shift_x_20,all,477,0.401,0.903,0.876,0.6,0.926,0.404,0.685,0.889,0.981,0.0105,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,front_shift_x_40,all,477,0.479,1.118,1.089,0.689,1.115,0.452,0.824,1.056,1.099,0.0147,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,front_shift_x_80,all,477,0.591,1.294,1.332,0.751,1.247,0.578,0.966,1.253,1.405,0.0273,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,front_shift_y_40,all,477,0.509,1.05,1.169,0.738,1.356,0.507,0.888,1.148,1.231,0.021,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,front_zoom_out_10pct,all,477,0.5,1.18,1.087,0.788,1.142,0.451,0.858,1.101,1.096,0.0147,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
cable_unclip,smolvla,front_zoom_in_10pct,all,477,0.447,0.911,1.006,0.623,1.042,0.381,0.735,0.946,0.925,0.0168,0.349,1.304,1.241,0.717,0.952,0.412,12.88,47.57,41.72,14.64,54.11,7.69
