task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
eye_drops_to_basket,act,identity,all,387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,resample,all,387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,shift_1px,all,387,0.232,0.34,0.36,0.277,0.252,0.17,0.272,0.24,0.179,0.0103,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_aspect_4_3,all,387,1.036,1.63,1.977,1.597,1.026,0.675,1.323,1.146,0.71,0.0181,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_shift_x_20,all,387,0.332,0.503,0.512,0.389,0.344,0.289,0.395,0.347,0.304,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_shift_x_40,all,387,0.266,0.464,0.489,0.335,0.325,0.256,0.356,0.31,0.269,0.0155,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_shift_x_80,all,387,0.27,0.475,0.538,0.343,0.29,0.241,0.36,0.308,0.253,0.0103,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_shift_y_40,all,387,0.39,0.538,0.592,0.403,0.371,0.314,0.435,0.381,0.331,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_zoom_out_10pct,all,387,0.685,1.05,1.169,0.76,0.783,0.496,0.824,0.718,0.522,0.0155,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_zoom_in_10pct,all,387,0.615,0.952,1.002,0.7,0.677,0.48,0.738,0.645,0.505,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_rotate_5deg,all,387,0.597,1.115,1.14,0.838,0.7,0.553,0.824,0.713,0.582,0.0155,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_blank,all,387,3.089,3.762,3.692,2.755,2.642,2.308,3.041,2.706,2.427,0.0413,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,front_uniform,all,387,3.088,3.761,3.573,2.705,2.651,2.349,3.021,2.694,2.47,0.0413,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_shift_x_20,all,387,0.316,0.504,0.59,0.34,0.327,0.232,0.385,0.33,0.244,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_shift_x_40,all,387,0.275,0.442,0.502,0.307,0.293,0.23,0.341,0.295,0.241,0.0103,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_shift_x_80,all,387,0.324,0.535,0.622,0.329,0.369,0.243,0.404,0.346,0.255,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_shift_y_40,all,387,0.373,0.636,0.693,0.438,0.42,0.329,0.482,0.416,0.346,0.0103,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_zoom_out_10pct,all,387,0.679,1.184,1.172,0.805,0.722,0.71,0.879,0.763,0.746,0.0258,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_zoom_in_10pct,all,387,0.645,1.097,1.149,0.904,0.622,0.574,0.832,0.72,0.603,0.0207,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_rotate_5deg,all,387,0.765,0.917,1.058,0.735,0.557,0.529,0.76,0.665,0.556,0.0129,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_blank,all,387,3.604,5.939,7.276,3.716,2.792,2.086,4.236,3.511,2.194,0.0517,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,top_uniform,all,387,3.605,5.976,7.493,3.932,2.777,2.12,4.317,3.578,2.23,0.0517,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_shift_x_20,all,387,0.181,0.304,0.377,0.208,0.283,0.163,0.253,0.221,0.172,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_shift_x_40,all,387,0.187,0.344,0.372,0.214,0.367,0.157,0.274,0.243,0.165,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_shift_x_80,all,387,0.248,0.454,0.501,0.298,0.59,0.231,0.387,0.35,0.243,0.0207,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_shift_y_40,all,387,0.237,0.582,0.588,0.376,0.353,0.235,0.395,0.335,0.247,0.0129,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_zoom_out_10pct,all,387,0.497,1.045,1.149,0.487,0.684,0.557,0.736,0.623,0.586,0.0155,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_zoom_in_10pct,all,387,0.421,0.868,0.948,0.476,0.6,0.405,0.62,0.528,0.426,0.0258,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_rotate_5deg,all,387,0.408,0.681,0.713,0.508,0.56,0.273,0.524,0.46,0.287,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_blank,all,387,3.816,7.846,8.343,5.859,3.737,5.005,5.768,4.924,5.265,0.1421,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,wrist_uniform,all,387,3.711,7.775,8.702,5.423,3.939,4.259,5.635,4.763,4.479,0.1111,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,all_blank,all,387,15.861,43.654,47.148,17.783,12.038,10.255,24.457,18.943,10.787,0.2429,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,all_uniform,all,387,15.342,44.585,52.65,13.847,13.536,9.379,24.89,18.901,9.865,0.2429,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,all_dark_30pct,all,387,0.386,0.665,0.855,0.536,0.503,0.343,0.548,0.474,0.361,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,all_bright_30pct,all,387,0.653,1.029,1.049,0.804,0.804,0.545,0.814,0.72,0.573,0.0233,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
eye_drops_to_basket,act,all_blur_sigma2,all,387,2.135,3.252,3.641,2.848,3.028,1.968,2.812,2.517,2.07,0.0543,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
