task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
eye_drops_to_shelf,act,identity,all,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,resample,all,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,shift_1px,all,468,0.244,0.423,0.439,0.293,0.388,0.209,0.333,0.264,0.288,0.0064,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_aspect_4_3,all,468,2.327,3.817,4.106,2.271,1.932,0.984,2.573,1.92,1.358,0.0235,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_shift_x_20,all,468,0.404,0.764,0.805,0.511,0.688,0.398,0.595,0.471,0.549,0.015,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_shift_x_40,all,468,0.4,0.68,0.762,0.466,0.573,0.309,0.532,0.416,0.427,0.0171,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_shift_x_80,all,468,0.402,0.734,0.828,0.499,0.602,0.34,0.568,0.443,0.469,0.015,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_shift_y_40,all,468,0.451,0.765,0.827,0.609,0.643,0.39,0.614,0.488,0.538,0.0107,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_zoom_out_10pct,all,468,0.801,1.458,1.483,0.951,1.11,0.687,1.082,0.85,0.948,0.0214,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_zoom_in_10pct,all,468,0.866,1.434,1.391,1.017,1.149,0.655,1.085,0.86,0.904,0.0235,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_rotate_5deg,all,468,0.836,1.657,1.641,1.077,1.24,0.664,1.186,0.919,0.916,0.0214,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_blank,all,468,5.156,11.727,8.96,4.563,6.728,5.011,7.024,5.455,6.913,0.1368,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,act,front_uniform,all,468,4.785,11.316,8.681,4.541,6.269,5.312,6.817,5.333,7.329,0.156,0.995,1.971,1.951,1.084,1.143,0.725,21.84,48.19,46.53,16.17,24.8,12.7
