task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
eye_drops_to_shelf,smolvla,identity,all,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,resample,all,468,0.407,0.701,0.735,0.463,0.372,0.253,0.489,0.52,0.415,0.0043,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,shift_1px,all,468,0.215,0.318,0.351,0.19,0.219,0.206,0.25,0.278,0.338,0.0043,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,front_aspect_4_3,all,468,0.646,1.086,1.382,0.824,0.82,0.668,0.904,0.998,1.096,0.0128,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,front_shift_x_20,all,468,0.574,0.85,1.06,0.652,0.683,0.53,0.725,0.807,0.869,0.0107,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,front_shift_x_40,all,468,0.624,1.037,1.197,0.759,0.767,0.697,0.847,0.946,1.144,0.0171,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,front_shift_x_80,all,468,0.769,1.234,1.389,0.93,0.909,0.827,1.01,1.132,1.356,0.0192,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,front_shift_y_40,all,468,0.804,1.169,1.359,0.889,0.878,0.908,1.001,1.135,1.491,0.0235,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,front_zoom_out_10pct,all,468,0.748,1.127,1.303,0.818,0.875,0.679,0.925,1.031,1.113,0.0171,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
eye_drops_to_shelf,smolvla,front_zoom_in_10pct,all,468,0.674,0.978,1.205,0.767,0.752,0.629,0.834,0.931,1.032,0.0171,0.744,1.525,1.454,0.716,0.679,0.609,21.84,48.19,46.53,16.17,24.8,12.7
