task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
ring_insert,act,identity,all,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,resample,all,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,shift_1px,all,494,0.13,0.26,0.213,0.215,0.108,0.074,0.167,0.244,0.214,0.0081,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,front_aspect_4_3,all,494,0.59,1.105,0.996,0.708,0.452,0.365,0.703,1.043,1.053,0.0223,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,front_shift_x_20,all,494,0.242,0.537,0.405,0.397,0.218,0.202,0.333,0.5,0.582,0.0142,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,front_shift_x_40,all,494,0.224,0.478,0.327,0.331,0.175,0.157,0.282,0.418,0.451,0.0081,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,front_shift_x_80,all,494,0.222,0.512,0.357,0.353,0.191,0.174,0.302,0.447,0.502,0.0101,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,front_shift_y_40,all,494,0.298,0.589,0.494,0.445,0.236,0.175,0.373,0.546,0.504,0.0101,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,front_zoom_out_10pct,all,494,0.638,0.856,0.66,0.709,0.351,0.3,0.586,0.902,0.866,0.0101,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,act,front_zoom_in_10pct,all,494,0.64,0.839,0.692,0.687,0.368,0.304,0.588,0.912,0.876,0.0162,0.439,1.438,1.171,0.806,0.333,0.347,13.37,37.6,33.22,21.99,9.79,6.42
