task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
ring_insert,smolvla,identity,all,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,resample,all,494,0.202,0.904,0.506,0.79,0.147,0.168,0.453,0.705,0.541,0.0061,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,shift_1px,all,494,0.131,0.314,0.275,0.196,0.106,0.185,0.201,0.372,0.596,0.004,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_aspect_4_3,all,494,0.481,1.002,0.98,0.585,0.322,0.45,0.637,1.134,1.452,0.0202,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_shift_x_20,all,494,0.356,0.803,0.767,0.552,0.288,0.379,0.524,0.947,1.221,0.0142,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_shift_x_40,all,494,0.431,0.93,0.855,0.594,0.346,0.359,0.586,1.052,1.157,0.0142,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_shift_x_80,all,494,0.539,1.109,1.053,0.715,0.379,0.473,0.711,1.274,1.525,0.0182,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_shift_y_40,all,494,0.485,1.094,1.138,0.691,0.351,0.566,0.721,1.285,1.824,0.0142,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_zoom_out_10pct,all,494,0.429,0.966,0.98,0.596,0.364,0.447,0.63,1.137,1.442,0.0101,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_zoom_in_10pct,all,494,0.433,0.865,0.881,0.636,0.351,0.392,0.593,1.083,1.266,0.0142,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_rotate_5deg,all,494,0.415,0.822,0.812,0.557,0.331,0.407,0.557,1.03,1.312,0.0121,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_blank,all,494,0.961,2.975,2.174,1.481,0.647,1.028,1.544,2.585,3.316,0.0385,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,front_uniform,all,494,1.002,2.877,2.294,1.429,0.644,1.138,1.564,2.653,3.671,0.0385,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_shift_x_20,all,494,0.297,0.547,0.509,0.374,0.24,0.263,0.372,0.7,0.848,0.0061,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_shift_x_40,all,494,0.325,0.58,0.548,0.399,0.235,0.278,0.394,0.735,0.897,0.0081,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_shift_x_80,all,494,0.352,0.717,0.698,0.483,0.262,0.341,0.475,0.865,1.101,0.004,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_shift_y_40,all,494,0.355,0.627,0.618,0.445,0.262,0.348,0.442,0.834,1.122,0.0081,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_zoom_out_10pct,all,494,0.309,0.604,0.624,0.419,0.227,0.404,0.431,0.81,1.302,0.0142,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_zoom_in_10pct,all,494,0.293,0.672,0.625,0.392,0.244,0.469,0.449,0.851,1.512,0.0243,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_rotate_5deg,all,494,0.268,0.605,0.57,0.372,0.238,0.394,0.408,0.773,1.269,0.0142,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_blank,all,494,0.724,1.752,1.147,1.114,0.474,0.671,0.98,1.741,2.163,0.0263,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,top_uniform,all,494,0.698,1.654,1.575,0.679,0.424,0.633,0.944,1.606,2.041,0.0243,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_shift_x_20,all,494,0.237,0.525,0.569,0.315,0.169,0.293,0.351,0.629,0.946,0.004,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_shift_x_40,all,494,0.221,0.476,0.532,0.29,0.162,0.254,0.322,0.577,0.819,0.0,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_shift_x_80,all,494,0.279,0.635,0.699,0.365,0.199,0.389,0.428,0.77,1.255,0.0121,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_shift_y_40,all,494,0.278,0.579,0.59,0.369,0.2,0.377,0.399,0.741,1.217,0.0081,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_zoom_out_10pct,all,494,0.342,0.779,0.872,0.454,0.239,0.417,0.517,0.913,1.344,0.0121,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_zoom_in_10pct,all,494,0.261,0.543,0.544,0.346,0.202,0.423,0.387,0.741,1.365,0.0081,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_rotate_5deg,all,494,0.255,0.586,0.597,0.33,0.184,0.34,0.382,0.69,1.095,0.0101,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_blank,all,494,0.693,2.075,1.973,1.237,0.487,0.811,1.213,2.02,2.616,0.0304,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,wrist_uniform,all,494,0.703,2.166,2.06,1.021,0.493,0.837,1.213,2.007,2.7,0.0304,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,all_blank,all,494,1.81,4.98,4.363,3.509,0.936,1.721,2.886,4.724,5.551,0.0709,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,all_uniform,all,494,1.737,5.231,4.39,2.3,1.114,1.629,2.733,4.46,5.255,0.0587,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,all_dark_30pct,all,494,0.313,0.618,0.676,0.422,0.253,0.37,0.442,0.823,1.194,0.0081,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,all_bright_30pct,all,494,0.541,1.21,1.197,0.766,0.415,0.481,0.768,1.355,1.552,0.0081,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
ring_insert,smolvla,all_blur_sigma2,all,494,0.624,1.482,1.53,0.889,0.498,0.728,0.959,1.706,2.349,0.0304,0.373,1.298,1.035,0.587,0.239,0.31,13.37,37.6,33.22,21.99,9.79,6.42
