task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
tool_insert,act,identity,all,859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,resample,all,859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,shift_1px,all,859,0.254,0.408,0.373,0.317,0.416,0.163,0.322,0.322,0.393,0.0058,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_aspect_4_3,all,859,0.839,3.007,2.457,1.285,1.519,0.483,1.598,1.454,1.164,0.0233,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_shift_x_20,all,859,0.398,0.622,0.611,0.464,0.719,0.273,0.514,0.516,0.658,0.0175,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_shift_x_40,all,859,0.335,0.541,0.498,0.396,0.582,0.217,0.428,0.427,0.522,0.0093,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_shift_x_80,all,859,0.336,0.6,0.521,0.406,0.64,0.214,0.453,0.445,0.516,0.0163,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_shift_y_40,all,859,0.445,0.741,0.755,0.678,0.78,0.248,0.608,0.593,0.597,0.0105,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_zoom_out_10pct,all,859,0.756,1.917,2.017,1.209,1.204,0.463,1.261,1.19,1.114,0.0244,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_zoom_in_10pct,all,859,0.572,1.569,1.438,0.934,1.187,0.436,1.023,0.977,1.051,0.0151,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_rotate_5deg,all,859,0.646,1.381,1.384,1.024,1.144,0.603,1.03,1.04,1.453,0.0256,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_blank,all,859,2.103,4.979,5.318,5.061,5.687,2.059,4.201,4.135,4.958,0.092,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,front_uniform,all,859,2.079,6.621,5.757,3.162,3.938,2.036,3.932,3.818,4.903,0.0896,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,top_shift_x_20,all,859,0.309,0.41,0.402,0.32,0.412,0.086,0.323,0.306,0.206,0.0058,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,top_shift_x_40,all,859,0.275,0.344,0.321,0.271,0.359,0.073,0.274,0.261,0.176,0.0047,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,top_shift_x_80,all,859,0.325,0.362,0.325,0.286,0.416,0.088,0.3,0.29,0.213,0.0035,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,top_shift_y_40,all,859,0.461,0.45,0.526,0.396,0.484,0.092,0.401,0.383,0.221,0.0035,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,top_zoom_out_10pct,all,859,0.808,0.655,0.624,0.514,0.704,0.144,0.575,0.561,0.346,0.0081,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,act,top_zoom_in_10pct,all,859,0.529,0.625,0.649,0.658,0.653,0.136,0.542,0.518,0.328,0.0035,0.809,1.419,1.29,0.969,1.293,0.415,19.15,41.39,34.12,14.49,34.08,6.31
