task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
tool_insert,smolvla,identity,all,859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,resample,all,859,0.54,0.825,1.171,1.05,0.396,0.14,0.687,1.064,0.641,0.0035,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,shift_1px,all,859,0.214,0.397,0.41,0.273,0.342,0.121,0.293,0.48,0.557,0.0012,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_aspect_4_3,all,859,0.73,1.215,1.103,0.862,1.117,0.502,0.922,1.592,2.302,0.0058,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_shift_x_20,all,859,0.564,1.07,1.009,0.752,0.989,0.447,0.805,1.383,2.051,0.007,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_shift_x_40,all,859,0.557,1.077,1.072,0.764,1.079,0.421,0.829,1.4,1.934,0.0081,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_shift_x_80,all,859,0.643,1.147,1.078,0.878,1.083,0.472,0.884,1.517,2.167,0.0116,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_shift_y_40,all,859,0.827,1.258,1.259,0.941,1.189,0.555,1.005,1.746,2.549,0.0116,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_zoom_out_10pct,all,859,0.707,1.181,1.269,0.979,1.147,0.454,0.956,1.612,2.086,0.0081,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_zoom_in_10pct,all,859,0.724,1.232,1.189,0.896,1.119,0.486,0.941,1.607,2.23,0.0081,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_rotate_5deg,all,859,0.559,1.125,1.071,0.837,0.996,0.451,0.84,1.431,2.068,0.0105,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_blank,all,859,1.483,1.836,2.001,1.299,1.814,0.778,1.535,2.656,3.569,0.014,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,front_uniform,all,859,1.075,1.842,1.832,1.255,1.918,0.75,1.445,2.465,3.442,0.0175,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,top_shift_x_20,all,859,0.333,0.594,0.578,0.403,0.478,0.211,0.433,0.73,0.971,0.0047,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
tool_insert,smolvla,top_shift_x_40,all,859,0.378,0.557,0.592,0.39,0.576,0.222,0.452,0.77,1.018,0.007,0.451,0.931,0.868,0.607,0.683,0.218,19.15,41.39,34.12,14.49,34.08,6.31
