task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
tool_removal,act,identity,all,658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,resample,all,658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,shift_1px,all,658,0.197,0.37,0.34,0.302,0.424,0.159,0.299,0.29,0.315,0.0091,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_aspect_4_3,all,658,0.488,1.041,1.369,0.78,1.06,0.416,0.859,0.808,0.825,0.0137,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_shift_x_20,all,658,0.237,0.435,0.388,0.329,0.593,0.215,0.366,0.356,0.426,0.0137,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_shift_x_40,all,658,0.187,0.372,0.335,0.286,0.501,0.19,0.312,0.303,0.377,0.0106,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_shift_x_80,all,658,0.193,0.433,0.4,0.318,0.533,0.182,0.343,0.325,0.362,0.0076,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_shift_y_40,all,658,0.274,0.472,0.504,0.42,0.692,0.205,0.428,0.408,0.407,0.0106,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_zoom_out_10pct,all,658,0.452,0.833,0.919,0.674,1.021,0.37,0.712,0.683,0.734,0.0076,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_zoom_in_10pct,all,658,0.502,0.809,0.899,0.611,0.955,0.328,0.684,0.66,0.65,0.0152,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_rotate_5deg,all,658,0.374,0.678,0.696,0.63,0.918,0.359,0.609,0.595,0.712,0.0122,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_blank,all,658,1.014,2.342,2.331,2.372,4.681,1.406,2.358,2.227,2.788,0.0562,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,front_uniform,all,658,1.127,2.593,2.453,2.861,3.982,1.429,2.408,2.319,2.834,0.0608,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_shift_x_20,all,658,0.305,0.572,0.57,0.478,0.579,0.195,0.45,0.43,0.387,0.003,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_shift_x_40,all,658,0.269,0.486,0.491,0.399,0.49,0.162,0.383,0.366,0.322,0.0091,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_shift_x_80,all,658,0.281,0.563,0.539,0.422,0.487,0.175,0.411,0.392,0.347,0.003,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_shift_y_40,all,658,0.327,0.713,0.724,0.526,0.639,0.176,0.518,0.479,0.349,0.0091,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_zoom_out_10pct,all,658,0.472,0.871,0.899,0.764,0.924,0.287,0.703,0.669,0.569,0.0122,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_zoom_in_10pct,all,658,0.486,0.934,1.078,0.913,0.934,0.336,0.78,0.745,0.667,0.0137,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_rotate_5deg,all,658,0.624,0.923,1.001,0.728,0.853,0.302,0.739,0.72,0.598,0.0137,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_blank,all,658,2.702,7.638,6.496,3.005,2.82,0.96,3.937,3.523,1.905,0.0289,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,top_uniform,all,658,2.406,8.13,6.478,3.222,3.306,1.037,4.097,3.609,2.057,0.0289,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_shift_x_20,all,658,0.24,0.564,0.474,0.394,0.534,0.272,0.413,0.405,0.539,0.0137,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_shift_x_40,all,658,0.218,0.447,0.393,0.366,0.484,0.212,0.353,0.346,0.421,0.0046,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_shift_x_80,all,658,0.262,0.536,0.479,0.459,0.57,0.257,0.427,0.419,0.509,0.0076,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_shift_y_40,all,658,0.263,0.594,0.481,0.6,0.597,0.336,0.479,0.481,0.667,0.0106,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_zoom_out_10pct,all,658,0.358,1.025,0.77,0.723,0.881,0.463,0.703,0.684,0.919,0.0152,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_zoom_in_10pct,all,658,0.375,0.83,0.794,0.807,0.932,0.434,0.695,0.682,0.861,0.0091,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_rotate_5deg,all,658,0.411,1.01,0.876,0.747,1.375,0.461,0.813,0.768,0.914,0.0243,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_blank,all,658,3.306,4.412,4.148,7.381,6.731,2.019,4.666,4.648,4.004,0.079,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,wrist_uniform,all,658,3.299,7.476,5.758,11.288,7.504,1.966,6.215,5.939,3.899,0.0684,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,all_blank,all,658,8.016,36.688,37.297,11.326,30.211,4.433,21.328,17.472,8.792,0.1185,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,all_uniform,all,658,9.638,39.993,31.857,37.701,31.187,6.732,26.185,23.28,13.351,0.1185,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,all_dark_30pct,all,658,0.314,0.736,0.687,0.559,0.877,0.301,0.579,0.547,0.596,0.0137,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,all_bright_30pct,all,658,0.519,0.901,0.873,0.785,0.992,0.386,0.743,0.726,0.766,0.0106,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,act,all_blur_sigma2,all,658,1.221,2.138,1.978,1.937,2.516,1.187,1.829,1.83,2.353,0.0319,0.589,1.552,1.416,0.922,1.496,0.504,10.58,46.71,39.34,19.22,34.84,6.0
