task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
tool_removal,smolvla,identity,all,658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,resample,all,658,0.208,0.764,0.675,0.647,0.752,0.195,0.54,0.731,0.584,0.003,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,shift_1px,all,658,0.21,0.537,0.542,0.317,0.55,0.219,0.396,0.555,0.657,0.0061,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_aspect_4_3,all,658,0.639,1.516,1.579,0.975,1.668,0.595,1.162,1.628,1.784,0.0167,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_shift_x_20,all,658,0.613,1.41,1.334,0.968,1.688,0.667,1.113,1.597,1.999,0.0213,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_shift_x_40,all,658,0.674,1.522,1.465,1.032,1.726,0.619,1.173,1.663,1.856,0.0152,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_shift_x_80,all,658,0.731,1.546,1.665,1.073,1.751,0.704,1.245,1.783,2.111,0.0228,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_shift_y_40,all,658,0.817,2.178,2.435,1.203,1.958,0.836,1.571,2.181,2.505,0.0258,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_zoom_out_10pct,all,658,0.736,1.564,1.686,1.22,1.875,0.763,1.307,1.886,2.287,0.0182,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_zoom_in_10pct,all,658,0.739,1.889,2.189,1.111,1.776,0.732,1.406,1.955,2.194,0.0228,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
