policy,ep,frames,mae_shoulder_pan,mae_shoulder_lift,mae_elbow_flex,mae_wrist_flex,mae_wrist_roll,mae_gripper,gripper_closure_agreement,target_closed_frac
act,0,49,1.52,3.37,2.88,1.31,1.89,1.19,1.0,1.0
act,1,32,1.24,2.45,2.92,1.97,1.09,1.51,0.969,0.969
act,2,29,1.42,3.39,3.59,2.16,1.97,1.49,1.0,0.966
act,3,30,1.68,2.86,3.21,1.92,1.66,1.59,1.0,1.0
act,4,27,1.04,3.5,4.3,1.89,2.7,1.3,0.963,1.0
act,5,32,1.47,2.59,2.47,1.59,1.23,1.13,1.0,0.875
act,6,30,1.25,3.58,3.11,1.83,1.2,1.56,1.0,0.967
act,7,35,1.34,3.07,2.83,2.0,2.04,1.17,0.971,1.0
act,8,30,1.22,3.53,2.85,1.8,0.74,1.02,1.0,1.0
act,9,41,2.57,2.9,3.33,2.42,2.08,1.1,0.976,0.902
act,10,35,1.38,3.83,3.56,1.63,2.49,1.19,1.0,1.0
act,11,37,2.17,2.76,3.83,1.97,1.99,1.34,1.0,1.0
act,12,40,1.19,3.23,3.63,2.28,2.09,1.45,1.0,1.0
act,13,38,1.52,2.72,3.28,1.86,2.11,1.53,0.947,0.895
act,14,35,1.75,3.07,2.6,1.76,2.45,1.1,0.971,0.857
act,15,38,2.15,2.88,3.14,2.21,3.25,1.32,0.974,0.974
act,16,46,1.98,3.83,3.71,1.2,2.31,1.16,1.0,1.0
act,17,37,1.67,3.39,3.34,2.1,1.83,1.2,1.0,1.0
act,18,43,1.6,3.03,2.95,2.31,2.3,1.44,0.977,0.86
act,19,32,1.39,2.6,3.37,2.3,2.03,1.32,0.969,0.875
act,20,41,2.28,2.81,2.47,1.74,1.1,0.89,1.0,1.0
act,21,36,1.64,2.6,3.14,1.75,1.94,0.82,0.972,1.0
act,22,32,1.67,3.81,3.24,2.3,3.28,1.43,1.0,1.0
act,23,31,1.57,2.9,3.39,1.68,1.9,1.31,0.935,0.903
act,24,37,1.58,3.06,3.11,1.73,1.9,1.42,1.0,1.0
act,25,39,1.6,3.6,4.08,1.87,1.48,1.06,1.0,1.0
act,26,32,1.27,4.33,3.6,1.15,1.08,1.48,1.0,1.0
act,27,48,1.78,3.93,2.25,1.7,3.37,2.44,1.0,0.75
act,28,37,1.39,2.8,2.55,1.49,1.68,0.97,1.0,1.0
act,29,36,1.9,2.95,3.27,1.66,1.46,0.97,1.0,1.0
act,30,33,1.51,3.69,3.47,1.84,1.51,1.34,0.939,1.0
act,31,36,1.6,2.81,2.81,1.82,1.37,1.24,0.972,0.889
act,32,34,1.69,3.02,2.83,1.66,1.38,0.67,0.941,0.912
act,33,35,1.6,3.53,3.78,3.65,1.93,0.81,1.0,1.0
act,34,34,1.0,3.56,3.33,2.26,2.85,0.9,1.0,1.0
act,35,34,1.91,3.53,4.09,2.48,1.59,0.72,1.0,1.0
act,36,35,1.57,3.36,3.68,2.16,1.41,1.12,1.0,1.0
act,37,33,2.12,3.02,3.54,2.33,2.26,1.06,0.97,0.909
act,38,56,2.71,4.63,4.91,2.71,1.35,1.94,0.964,0.946
act,39,32,1.07,2.87,3.09,1.81,1.81,2.31,0.875,0.969
act,40,33,1.45,3.28,3.72,2.32,2.15,1.33,1.0,1.0
