dataset,gripper_min,gripper_max,gripper_span,pan_min,pan_max
pravsels/object_top_shelf_reset_remote,0.0,48.4,48.4,-58.8,47.1
villekuosmanen/armnetbench_block_stack,0.0,52.3,52.3,-39.5,56.6
villekuosmanen/armnetbench_ring_insert,0.0,29.5,29.5,-29.3,39.6
villekuosmanen/armnetbench_tool_insert,0.2,28.4,28.1,-64.0,54.7
pravsels/cable_clip_remote_v2,0.0,45.5,45.5,-39.4,52.4
lerobot/svla_so101_pickplace,0.0,33.0,33.0,-93.5,88.0
jackvial/so101_pickplace_success_120_v2,0.0,56.8,56.8,-55.6,48.6
hbseong/record-pick-and-place-pos5-so101,0.5,100.0,99.5,-62.3,88.2
5hadytru/so101_bench_real_1_v2.1,0.0,91.0,91.0,-86.5,90.2
szk1ck/so101-ycb-pickplace,0.1,1.5,1.4,-1.0,0.8
