task,policy,n,success_rate,closures_per_s,rate_vs_human,closures,count_vs_human,seconds
block_stack,act,30,0.0,0.375,1.53,8.0,2.67,23.0
block_stack,diffusion,30,0.0,0.2658,1.09,6.0,2.0,22.6
block_stack,grootn1.7,30,0.267,0.2554,1.04,5.0,1.67,21.8
block_stack,molmoact2,60,0.05,0.2805,1.15,5.0,1.67,18.6
block_stack,pi0,30,0.333,0.2925,1.19,5.5,1.83,27.2
block_stack,pi0.5,30,0.433,0.2907,1.19,6.0,2.0,27.4
block_stack,smolvla,45,0.067,0.3587,1.46,8.0,2.67,22.5
cable_clip,act,60,0.0,0.231,1.78,10.5,3.5,48.4
cable_clip,diffusion,30,0.0,0.1367,1.05,6.0,2.0,45.3
cable_clip,grootn1.7,30,0.0,0.2001,1.54,8.0,2.67,44.5
cable_clip,molmoact2,60,0.0,0.2192,1.69,5.0,1.67,21.9
cable_clip,pi0,30,0.0,0.2262,1.74,12.0,4.0,57.8
cable_clip,pi0.5,30,0.0,0.1888,1.45,9.0,3.0,52.8
cable_clip,smolvla,30,0.0,0.2769,2.13,12.0,4.0,43.5
cable_unclip,act,30,0.6,0.4143,1.47,3.0,1.0,9.0
cable_unclip,diffusion,30,0.067,0.26,0.93,9.0,3.0,34.4
cable_unclip,grootn1.7,30,0.333,0.3754,1.34,6.5,2.17,18.7
cable_unclip,molmoact2,60,0.283,0.3302,1.17,6.0,2.0,20.6
cable_unclip,pi0,30,0.467,0.3,1.07,6.0,2.0,23.7
cable_unclip,pi0.5,30,0.7,0.2983,1.06,4.0,1.33,12.6
cable_unclip,smolvla,30,0.367,0.2835,1.01,10.0,3.33,38.8
eye_drops_to_basket,act,30,0.633,0.5064,1.47,5.0,1.67,9.3
eye_drops_to_basket,diffusion,30,0.433,0.292,0.85,5.0,1.67,20.0
eye_drops_to_basket,grootn1.7,30,0.667,0.4906,1.43,4.0,1.33,8.2
eye_drops_to_basket,molmoact2,60,0.333,0.3645,1.06,6.0,2.0,21.4
eye_drops_to_basket,pi0,30,0.7,0.3519,1.02,3.0,1.0,9.4
eye_drops_to_basket,pi0.5,30,0.667,0.375,1.09,3.0,1.0,8.4
eye_drops_to_basket,smolvla,30,0.233,0.3323,0.97,4.0,1.33,23.9
eye_drops_to_shelf,act,60,0.0,0.3219,1.16,7.5,2.5,24.7
eye_drops_to_shelf,diffusion,30,0.167,0.2401,0.87,5.0,1.67,20.9
eye_drops_to_shelf,grootn1.7,30,0.433,0.3826,1.38,4.5,1.5,17.6
eye_drops_to_shelf,molmoact2,60,0.233,0.285,1.03,5.0,1.67,21.1
eye_drops_to_shelf,pi0,29,0.759,0.3279,1.19,4.0,1.33,12.1
eye_drops_to_shelf,pi0.5,30,0.7,0.3399,1.23,3.0,1.0,9.7
eye_drops_to_shelf,smolvla,60,0.067,0.3369,1.22,8.0,2.67,24.0
ring_insert,act,30,0.5,0.2962,1.08,5.5,1.83,22.3
ring_insert,diffusion,30,0.233,0.3292,1.2,8.0,2.67,24.0
ring_insert,grootn1.7,30,0.6,0.2844,1.04,4.0,1.33,14.4
ring_insert,molmoact2,60,0.1,0.4843,1.77,11.0,3.67,22.4
ring_insert,pi0,30,0.167,0.3362,1.23,8.5,2.83,27.9
ring_insert,pi0.5,30,0.467,0.3,1.1,7.0,2.33,26.8
ring_insert,smolvla,45,0.378,0.2857,1.04,7.0,2.33,27.5
tool_insert,act,60,0.117,0.2973,1.81,7.0,2.33,23.5
tool_insert,diffusion,30,0.233,0.1992,1.21,4.0,1.33,19.9
tool_insert,grootn1.7,30,0.167,0.1954,1.19,3.0,1.0,17.4
tool_insert,molmoact2,60,0.083,0.1702,1.04,4.0,1.33,24.7
tool_insert,pi0,30,0.4,0.181,1.1,3.0,1.0,26.0
tool_insert,pi0.5,30,0.533,0.1893,1.15,3.0,1.0,17.0
tool_insert,smolvla,60,0.033,0.2251,1.37,6.0,2.0,22.8
tool_removal,act,30,0.267,0.3919,1.53,12.0,3.0,33.0
tool_removal,diffusion,30,0.633,0.2985,1.17,7.0,1.75,22.5
tool_removal,grootn1.7,30,0.3,0.2841,1.11,5.0,1.25,17.6
tool_removal,molmoact2,60,0.1,0.4131,1.61,11.0,2.75,27.3
tool_removal,pi0,30,0.1,0.363,1.42,12.0,3.0,32.3
tool_removal,pi0.5,30,0.133,0.363,1.42,12.0,3.0,32.6
tool_removal,smolvla,30,0.033,0.3292,1.29,12.0,3.0,36.3
