episode,task,policy,outcome,frames,seconds,closures,closures_per_s,closed_frac
0,ring_insert,diffusion,failure,510,25.5,9,0.3529,0.531
1,ring_insert,diffusion,failure,421,21.1,8,0.38,0.43
2,ring_insert,diffusion,failure,515,25.8,7,0.2718,0.575
3,ring_insert,diffusion,successful,240,12.0,3,0.25,0.721
4,ring_insert,diffusion,successful,360,18.0,6,0.3333,0.65
5,ring_insert,diffusion,successful,229,11.4,3,0.262,0.725
6,ring_insert,diffusion,failure,517,25.9,10,0.3868,0.393
7,ring_insert,diffusion,successful,272,13.6,4,0.2941,0.658
8,ring_insert,diffusion,failure,504,25.2,7,0.2778,0.484
9,ring_insert,diffusion,failure,508,25.4,13,0.5118,0.394
10,ring_insert,diffusion,failure,480,24.0,7,0.2917,0.569
11,ring_insert,diffusion,successful,236,11.8,3,0.2542,0.725
12,ring_insert,diffusion,successful,224,11.2,3,0.2679,0.763
13,ring_insert,diffusion,failure,515,25.8,13,0.5049,0.443
14,ring_insert,diffusion,failure,481,24.1,11,0.4574,0.43
15,ring_insert,diffusion,failure,470,23.5,9,0.383,0.415
16,ring_insert,diffusion,failure,500,25.0,8,0.32,0.556
17,ring_insert,diffusion,failure,492,24.6,8,0.3252,0.482
18,ring_insert,diffusion,failure,500,25.0,7,0.28,0.504
19,ring_insert,diffusion,failure,480,24.0,8,0.3333,0.504
20,ring_insert,diffusion,failure,495,24.8,14,0.5657,0.362
21,ring_insert,diffusion,failure,478,23.9,9,0.3766,0.577
22,ring_insert,diffusion,successful,240,12.0,3,0.25,0.725
23,ring_insert,diffusion,failure,513,25.6,14,0.5458,0.441
24,ring_insert,diffusion,failure,481,24.1,9,0.3742,0.574
25,ring_insert,diffusion,failure,475,23.8,9,0.3789,0.564
26,ring_insert,diffusion,failure,426,21.3,6,0.2817,0.526
27,ring_insert,diffusion,failure,480,24.0,7,0.2917,0.637
28,ring_insert,diffusion,failure,502,25.1,9,0.3586,0.606
29,ring_insert,diffusion,failure,491,24.6,7,0.2851,0.491
30,ring_insert,act,successful,220,11.0,3,0.2727,0.777
31,ring_insert,act,successful,226,11.3,3,0.2655,0.695
32,ring_insert,act,failure,467,23.4,9,0.3854,0.467
33,ring_insert,act,successful,240,12.0,3,0.25,0.733
34,ring_insert,act,failure,454,22.7,14,0.6167,0.535
35,ring_insert,act,failure,467,23.4,11,0.4711,0.345
36,ring_insert,act,successful,214,10.7,3,0.2804,0.804
37,ring_insert,act,failure,462,23.1,7,0.303,0.561
38,ring_insert,act,successful,213,10.7,3,0.2817,0.69
39,ring_insert,act,successful,260,13.0,3,0.2308,0.754
40,ring_insert,act,failure,456,22.8,8,0.3509,0.546
41,ring_insert,act,successful,218,10.9,3,0.2752,0.748
42,ring_insert,act,successful,240,12.0,3,0.25,0.75
43,ring_insert,act,failure,469,23.4,1,0.0426,0.107
44,ring_insert,act,successful,228,11.4,3,0.2632,0.75
45,ring_insert,act,successful,404,20.2,5,0.2475,0.705
46,ring_insert,act,successful,213,10.7,4,0.3756,0.85
47,ring_insert,act,successful,200,10.0,3,0.3,0.785
48,ring_insert,act,successful,230,11.5,3,0.2609,0.713
49,ring_insert,act,failure,448,22.4,9,0.4018,0.587
50,ring_insert,act,successful,479,23.9,7,0.2923,0.785
