task,policy,n_success,n_failure,win_per_s,lose_per_s,delta
ring_insert,molmoact2,6,54,0.29,0.501,0.211
tool_insert,act,7,44,0.132,0.34,0.209
tool_removal,molmoact2,6,51,0.265,0.448,0.182
tool_removal,act,8,22,0.298,0.443,0.145
cable_unclip,act,18,12,0.362,0.485,0.123
ring_insert,act,15,15,0.266,0.384,0.118
tool_removal,pi0,3,26,0.256,0.365,0.109
block_stack,smolvla,3,42,0.261,0.362,0.101
ring_insert,diffusion,7,23,0.262,0.359,0.097
eye_drops_to_basket,grootn1.7,20,10,0.464,0.554,0.09
tool_removal,pi0.5,4,24,0.281,0.369,0.088
tool_insert,diffusion,7,20,0.19,0.252,0.062
block_stack,molmoact2,3,57,0.222,0.282,0.06
cable_unclip,grootn1.7,10,20,0.344,0.394,0.051
ring_insert,smolvla,17,28,0.274,0.323,0.049
tool_insert,grootn1.7,5,15,0.182,0.23,0.049
eye_drops_to_basket,act,19,11,0.504,0.538,0.034
tool_removal,grootn1.7,9,19,0.261,0.286,0.026
block_stack,grootn1.7,8,22,0.245,0.267,0.022
eye_drops_to_shelf,grootn1.7,13,17,0.373,0.394,0.022
block_stack,pi0,10,20,0.277,0.293,0.016
ring_insert,grootn1.7,18,12,0.277,0.284,0.007
tool_removal,diffusion,19,11,0.297,0.302,0.005
ring_insert,pi0.5,14,16,0.3,0.301,0.001
cable_unclip,molmoact2,17,43,0.332,0.329,-0.003
tool_insert,pi0,12,14,0.183,0.179,-0.004
ring_insert,pi0,5,25,0.34,0.332,-0.008
cable_unclip,smolvla,11,19,0.291,0.283,-0.009
eye_drops_to_shelf,diffusion,5,25,0.25,0.24,-0.01
cable_unclip,pi0,14,16,0.302,0.291,-0.011
block_stack,pi0.5,13,17,0.3,0.288,-0.012
tool_insert,molmoact2,5,51,0.185,0.169,-0.016
cable_unclip,pi0.5,21,9,0.309,0.291,-0.018
eye_drops_to_shelf,smolvla,4,56,0.364,0.335,-0.028
eye_drops_to_basket,pi0.5,20,10,0.38,0.337,-0.043
eye_drops_to_shelf,pi0,22,7,0.332,0.288,-0.043
eye_drops_to_basket,molmoact2,20,40,0.401,0.338,-0.063
eye_drops_to_basket,smolvla,7,23,0.398,0.331,-0.068
eye_drops_to_basket,pi0,21,9,0.36,0.29,-0.07
eye_drops_to_shelf,molmoact2,14,46,0.352,0.279,-0.073
tool_insert,pi0.5,16,11,0.2,0.125,-0.076
eye_drops_to_basket,diffusion,13,17,0.337,0.24,-0.097
eye_drops_to_shelf,pi0.5,21,9,0.353,0.25,-0.103
