policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
act,identity,387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,resample,387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,shift_1px,387,0.232,0.34,0.36,0.277,0.252,0.17,0.272,0.24,0.179,0.0026,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_aspect_4_3,387,1.036,1.63,1.977,1.597,1.026,0.675,1.323,1.146,0.71,0.0258,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_shift_x_20,387,0.332,0.503,0.512,0.389,0.344,0.289,0.395,0.347,0.304,0.0052,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_shift_x_40,387,0.266,0.464,0.489,0.335,0.325,0.256,0.356,0.31,0.269,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_shift_x_80,387,0.27,0.475,0.538,0.343,0.29,0.241,0.36,0.308,0.253,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_shift_y_40,387,0.39,0.538,0.592,0.403,0.371,0.314,0.435,0.381,0.331,0.0052,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_zoom_out_10pct,387,0.685,1.05,1.169,0.76,0.783,0.496,0.824,0.718,0.522,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_zoom_in_10pct,387,0.615,0.952,1.002,0.7,0.677,0.48,0.738,0.645,0.505,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_rotate_5deg,387,0.597,1.115,1.14,0.838,0.7,0.553,0.824,0.713,0.582,0.0103,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_blank,387,3.089,3.762,3.692,2.755,2.642,2.308,3.041,2.706,2.427,0.0491,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,front_uniform,387,3.088,3.761,3.573,2.705,2.651,2.349,3.021,2.694,2.47,0.0465,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,top_shift_x_20,387,0.316,0.504,0.59,0.34,0.327,0.232,0.385,0.33,0.244,0.0052,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,top_shift_x_40,387,0.275,0.442,0.502,0.307,0.293,0.23,0.341,0.295,0.241,0.0026,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,top_shift_x_80,387,0.324,0.535,0.622,0.329,0.369,0.243,0.404,0.346,0.255,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,top_shift_y_40,387,0.373,0.636,0.693,0.438,0.42,0.329,0.482,0.416,0.346,0.0026,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,top_zoom_out_10pct,387,0.679,1.184,1.172,0.805,0.722,0.71,0.879,0.763,0.746,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,top_zoom_in_10pct,387,0.645,1.097,1.149,0.904,0.622,0.574,0.832,0.72,0.603,0.0078,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
