ep,found,cx,cy,long_px,short_px,area,angle,position
0,1,600,111,112,57,4601,70.9,P4
1,1,503,120,92,46,3598,81.7,P2
2,1,665,204,105,46,4060,-39.8,P3
3,1,463,127,105,56,4692,60.3,P2
4,1,596,91,95,36,2490,-14.5,P4
5,1,535,146,92,49,3739,83.4,P2
6,1,579,214,101,48,4097,-68.2,P3
7,1,747,195,100,47,3875,-43.7,P5
8,1,480,49,78,41,2616,-90.0,P1
9,1,701,166,122,63,5889,72.5,P5
10,1,743,167,92,46,3501,-50.2,P5
11,1,532,93,140,61,5902,44.2,P2
12,1,667,93,87,40,2259,-31.9,P4
13,1,565,144,91,49,3820,88.3,P2
14,1,653,108,111,44,3989,82.2,P4
15,1,418,42,137,63,6332,-14.9,P1
16,1,710,123,114,65,4928,63.4,P5
17,0,,,,,,,
18,0,,,,,,,
19,1,622,217,47,15,384,-45.0,P3
20,1,610,210,35,13,316,-45.0,P3
21,1,561,131,71,31,1731,-7.1,P2
22,1,606,85,88,37,2366,45.0,P4
23,1,518,120,132,65,6168,-23.8,P2
24,1,414,39,120,64,4539,-45.0,P1
25,1,702,116,126,60,4617,-9.5,P5
26,1,518,159,113,57,4530,-51.8,P2
27,1,482,135,102,36,2851,7.4,P2
28,1,502,57,105,60,3269,-41.2,P2
29,1,721,192,140,40,4815,-8.7,P5
30,1,408,38,83,44,3228,82.8,P1
31,0,,,,,,,
32,0,,,,,,,
33,1,689,197,70,25,1045,-11.3,P5
34,1,524,65,78,31,1674,-16.5,P2
35,1,753,191,30,11,229,-48.8,P5
36,1,529,79,66,27,1314,-26.6,P2
37,1,454,42,123,63,5766,-24.4,P1
38,1,795,121,80,47,3041,-56.3,P5
39,1,487,85,128,37,3803,-27.4,P2
40,1,623,175,141,39,4768,-8.7,P3
41,1,409,29,87,44,2856,59.5,P1
42,1,590,146,137,40,4718,54.3,P4
43,1,374,52,127,66,5983,-22.6,P1
44,1,518,104,67,31,1866,0.0,P2
45,0,,,,,,,
46,1,513,76,122,62,5270,-33.7,P2
47,1,655,110,124,63,4422,-14.6,P4
48,1,476,39,86,36,2220,-31.6,P1
49,1,511,113,67,38,1936,-26.6,P2
