episode,policy,success,outcome,cx,cy,area,found
1629,act,False,failure,504.9,163.4,5165,True
1630,act,True,successful,538.4,167.3,2857,True
1631,act,True,successful,478.2,139.0,4423,True
1632,act,True,successful,545.9,175.4,7177,True
1633,act,True,successful,485.3,149.9,7747,True
1634,act,True,successful,612.2,181.1,4336,True
1635,act,True,successful,556.0,163.6,5771,True
1636,act,False,failure,498.4,182.4,5470,True
1637,act,True,successful,515.5,227.9,735,True
1638,act,True,successful,471.4,130.9,7282,True
1639,act,True,successful,542.3,160.3,7233,True
1640,act,False,failure,423.3,147.1,3972,True
1641,act,True,successful,496.3,149.8,5910,True
1642,act,True,successful,566.2,144.6,3870,True
1643,act,True,successful,650.1,231.3,1456,True
1644,act,False,failure,,,,False
1645,act,False,failure,,,,False
1646,act,False,failure,488.8,166.7,5500,True
1647,act,True,successful,560.4,198.3,5515,True
1648,act,False,failure,,,,False
1649,act,True,successful,,,,False
1650,act,False,failure,,,,False
1651,act,False,failure,504.4,148.3,8703,True
1652,act,True,successful,484.6,138.3,7498,True
1653,act,True,successful,590.0,194.9,8070,True
1654,act,False,failure,507.8,182.3,1705,True
1655,act,False,failure,475.7,145.7,4061,True
1656,act,True,successful,467.8,170.3,8709,True
1657,act,True,successful,563.4,192.9,8614,True
1658,act,True,successful,448.0,160.5,8582,True
1659,smolvla,False,failure,533.9,182.5,1354,True
1660,smolvla,False,failure,,,,False
1661,smolvla,True,successful,458.4,193.9,1824,True
1662,smolvla,False,failure,,,,False
1663,smolvla,False,failure,516.3,227.7,1923,True
1664,smolvla,True,successful,497.3,210.9,2524,True
1665,smolvla,False,failure,509.0,199.9,2399,True
1666,smolvla,False,failure,588.7,219.1,5144,True
1667,smolvla,False,failure,547.3,210.1,6888,True
1668,smolvla,False,failure,460.8,166.0,4856,True
1669,smolvla,False,failure,535.1,207.5,4294,True
1670,smolvla,False,failure,499.3,139.5,3414,True
1671,smolvla,False,failure,611.1,193.7,4860,True
1672,smolvla,False,failure,523.3,197.7,5128,True
1673,smolvla,False,failure,,,,False
1674,smolvla,True,successful,503.5,198.0,4888,True
1675,smolvla,False,failure,583.8,253.7,1103,True
1676,smolvla,True,successful,481.0,178.7,7092,True
1677,smolvla,False,failure,524.5,171.5,4247,True
1678,smolvla,True,successful,520.4,211.8,8957,True
1679,smolvla,True,successful,505.9,201.6,4497,True
1680,smolvla,False,failure,,,,False
1681,smolvla,False,failure,496.5,153.3,3728,True
1682,smolvla,False,failure,537.3,171.7,3901,True
1683,smolvla,False,failure,489.6,163.9,3910,True
1684,smolvla,False,failure,491.5,186.0,4149,True
1685,smolvla,False,failure,457.9,193.4,1386,True
1686,smolvla,True,successful,519.2,207.9,6471,True
1687,smolvla,False,failure,560.7,201.4,4246,True
1688,smolvla,False,failure,596.6,225.4,7301,True
