task,policy,natural_step,demo_sigma,noise_raw,all_blank_raw,all_blank_natural,all_blank_sigma,wrist_blank_raw,wrist_blank_natural,wrist_blank_sigma,front_blank_raw,front_blank_natural,front_blank_sigma,top_blank_raw,top_blank_natural,top_blank_sigma
block_stack,act,0.84,23.0,0.0,21.13,24.4,91.9,4.05,4.9,17.6,4.03,4.9,17.5,2.73,3.2,11.8
block_stack,smolvla,0.64,23.0,0.45,2.92,4.6,12.7,1.33,2.1,5.8,1.62,2.6,7.0,0.82,1.4,3.6
cable_clip,act,0.83,31.3,0.0,27.99,33.2,89.4,3.05,3.8,9.7,3.26,3.8,10.4,4.06,4.7,13.0
cable_clip,smolvla,0.64,31.3,0.67,2.79,4.6,8.9,0.87,1.4,2.8,1.61,2.5,5.2,1.19,1.9,3.8
cable_unclip,act,1.06,29.8,0.0,31.4,27.4,105.5,4.89,4.8,16.4,6.88,6.9,23.1,3.69,3.5,12.4
eye_drops_to_basket,act,1.19,27.2,0.0,24.46,18.9,89.8,5.77,4.9,21.2,3.04,2.7,11.2,4.24,3.5,15.5
eye_drops_to_basket,smolvla,1.04,27.2,0.48,4.55,4.3,16.7,1.42,1.4,5.2,2.01,1.9,7.4,1.42,1.4,5.2
eye_drops_to_shelf,act,1.31,28.4,0.0,25.31,17.9,89.2,5.38,4.2,19.0,7.02,5.5,24.8,2.94,2.2,10.4
ring_insert,act,0.76,20.4,0.0,17.34,21.6,85.0,2.19,3.2,10.8,2.03,2.9,9.9,1.68,2.2,8.2
ring_insert,smolvla,0.64,20.4,0.45,2.89,4.7,14.1,1.21,2.0,5.9,1.54,2.6,7.6,0.98,1.7,4.8
tool_insert,act,1.03,24.9,0.0,32.91,29.8,132.0,6.69,6.4,26.8,4.2,4.1,16.9,3.23,3.1,13.0
tool_removal,act,1.08,26.1,0.0,21.33,17.5,81.7,4.67,4.6,17.9,2.36,2.2,9.0,3.94,3.5,15.1
