arm,ep,verdict,in_train,frames,target_closed_frac,closure_recall,false_closure,pred_min,target_min
60all,0,complete_pickup,True,145,1.0,1.0,nan,23.2,24.2
60all,1,no_closure,True,145,0.0,nan,0.0,87.7,89.4
60all,2,complete_pickup,True,145,0.517,1.0,0.029,24.3,24.4
60all,3,complete_pickup,True,145,0.545,0.987,0.015,23.1,24.1
60all,4,complete_pickup,True,145,0.641,0.989,0.019,23.1,23.3
60all,5,closure_no_lift,True,145,0.324,0.936,0.01,25.3,26.3
60all,6,closure_no_lift,True,145,0.2,0.966,0.0,24.3,24.6
60all,7,no_closure,True,145,1.0,1.0,nan,24.0,24.1
60all,8,closure_no_lift,True,145,0.255,0.892,0.009,23.8,23.7
60all,9,no_closure,True,145,0.0,nan,0.0,44.3,45.9
60all,10,closure_no_lift,True,145,0.545,1.0,0.0,26.7,27.3
60all,11,closure_no_lift,True,145,0.083,0.917,0.008,26.0,26.4
60all,12,complete_pickup,True,145,0.628,1.0,0.019,23.4,24.1
60all,13,no_closure,True,145,0.0,nan,0.0,96.5,97.7
60all,14,no_closure,True,145,0.0,nan,0.0,96.9,97.6
60all,15,closure_no_lift,True,145,0.193,1.0,0.009,25.8,26.4
60all,16,complete_pickup,True,145,0.593,0.965,0.017,23.6,24.2
60all,17,no_closure,True,145,0.0,nan,0.0,80.9,82.4
60all,18,closure_no_lift,True,145,0.076,1.0,0.007,23.6,24.2
60all,19,complete_pickup,True,145,0.586,0.988,0.0,23.6,24.1
60all,20,no_closure,True,145,0.0,nan,0.0,98.1,98.7
60all,21,no_closure,True,144,0.0,nan,0.0,98.5,98.7
60all,22,complete_pickup,True,145,0.8,0.991,0.069,23.4,24.3
60all,23,complete_pickup,True,145,0.331,1.0,0.031,23.9,23.0
60all,24,complete_pickup,True,145,0.648,0.979,0.02,24.4,24.6
60all,25,closure_no_lift,True,145,0.124,0.944,0.008,23.8,24.2
60all,26,closure_no_lift,True,145,0.034,1.0,0.0,23.5,23.5
60all,27,complete_pickup,True,145,0.648,0.989,0.0,23.3,24.2
60all,28,closure_no_lift,True,145,0.483,0.986,0.04,25.1,23.2
60all,29,complete_pickup,True,145,0.269,0.974,0.0,23.9,23.0
60all,30,complete_pickup,True,145,0.331,0.812,0.0,30.9,32.7
60all,31,closure_no_lift,True,143,0.308,1.0,0.0,24.1,24.3
60all,32,complete_pickup,True,145,0.717,0.99,0.0,23.4,24.0
60all,33,no_closure,True,150,0.0,nan,0.0,63.8,52.4
60all,34,no_closure,True,144,0.0,nan,0.0,91.4,92.6
60all,35,brief_closure,True,145,0.014,1.0,0.0,31.7,27.8
60all,36,closure_no_lift,True,145,0.193,1.0,0.0,22.9,24.1
60all,37,brief_closure,True,147,0.02,0.667,0.0,23.9,24.2
60all,38,closure_no_lift,True,145,0.207,1.0,0.0,23.0,23.9
60all,39,closure_no_lift,True,145,0.586,0.965,0.0,23.0,24.0
60all,40,no_closure,True,145,0.0,nan,0.0,83.8,85.0
60all,41,no_closure,True,147,0.211,0.968,0.0,28.1,29.2
60all,42,closure_no_lift,True,145,0.09,0.385,0.0,23.9,24.0
60all,43,closure_no_lift,True,145,0.159,1.0,0.016,27.3,30.0
60all,44,complete_pickup,True,145,0.497,0.778,0.0,25.0,25.8
60all,45,complete_pickup,True,147,0.626,0.989,0.0,22.9,23.6
60all,46,closure_no_lift,True,145,0.055,1.0,0.015,23.2,24.0
60all,47,no_closure,True,145,0.0,nan,0.0,65.5,66.8
60all,48,complete_pickup,True,144,0.708,0.99,0.0,23.9,24.5
60all,49,complete_pickup,True,145,0.276,1.0,0.0,25.8,26.8
60all,50,closure_no_lift,True,145,0.269,1.0,0.009,24.1,25.1
60all,51,complete_pickup,True,145,0.262,0.974,0.019,24.6,24.2
60all,52,complete_pickup,True,145,0.469,0.985,0.0,28.6,29.3
60all,53,complete_pickup,True,145,0.49,0.972,0.0,22.8,24.1
60all,54,closure_no_lift,True,145,0.076,0.818,0.0,29.2,28.9
60all,55,complete_pickup,True,145,0.352,0.98,0.0,23.2,24.1
60all,56,closure_no_lift,True,145,0.483,0.986,0.013,23.3,24.2
60all,57,brief_closure,True,145,0.0,nan,0.0,41.2,48.4
60all,58,closure_no_lift,True,145,0.248,0.944,0.0,23.7,24.6
60all,59,complete_pickup,True,145,0.421,0.984,0.024,24.3,24.3
23complete,0,complete_pickup,True,145,1.0,1.0,nan,23.9,24.2
23complete,1,no_closure,False,145,0.0,nan,0.0,69.5,89.4
23complete,2,complete_pickup,True,145,0.517,1.0,0.0,24.5,24.4
23complete,3,complete_pickup,True,145,0.545,1.0,0.03,23.4,24.1
23complete,4,complete_pickup,True,145,0.641,1.0,0.019,23.5,23.3
23complete,5,closure_no_lift,False,145,0.324,1.0,0.031,24.5,26.3
23complete,6,closure_no_lift,False,145,0.2,1.0,0.017,24.4,24.6
23complete,7,no_closure,False,145,1.0,1.0,nan,33.2,24.1
23complete,8,closure_no_lift,False,145,0.255,0.703,0.009,25.7,23.7
23complete,9,no_closure,False,145,0.0,nan,0.014,36.8,45.9
23complete,10,closure_no_lift,False,145,0.545,0.987,0.045,24.3,27.3
23complete,11,closure_no_lift,False,145,0.083,0.917,0.008,24.5,26.4
23complete,12,complete_pickup,True,145,0.628,1.0,0.0,23.9,24.1
23complete,13,no_closure,False,145,0.0,nan,0.0,87.3,97.7
23complete,14,no_closure,False,145,0.0,nan,0.0,76.4,97.6
23complete,15,closure_no_lift,False,145,0.193,0.964,0.0,24.4,26.4
23complete,16,complete_pickup,True,145,0.593,0.988,0.017,23.7,24.2
23complete,17,no_closure,False,145,0.0,nan,0.0,71.2,82.4
23complete,18,closure_no_lift,False,145,0.076,1.0,0.0,24.8,24.2
23complete,19,complete_pickup,True,145,0.586,0.988,0.0,24.0,24.1
23complete,20,no_closure,False,145,0.0,nan,0.0,78.9,98.7
23complete,21,no_closure,False,144,0.0,nan,0.0,85.6,98.7
23complete,22,complete_pickup,True,145,0.8,0.991,0.069,23.7,24.3
23complete,23,complete_pickup,True,145,0.331,1.0,0.01,24.0,23.0
23complete,24,complete_pickup,True,145,0.648,1.0,0.0,24.4,24.6
23complete,25,closure_no_lift,False,145,0.124,0.889,0.016,25.9,24.2
23complete,26,closure_no_lift,False,145,0.034,0.8,0.007,25.3,23.5
23complete,27,complete_pickup,True,145,0.648,0.989,0.0,23.8,24.2
23complete,28,closure_no_lift,False,145,0.483,0.386,0.133,24.0,23.2
23complete,29,complete_pickup,True,145,0.269,0.949,0.019,24.0,23.0
23complete,30,complete_pickup,True,145,0.331,0.917,0.0,29.4,32.7
23complete,31,closure_no_lift,False,143,0.308,0.977,0.02,24.7,24.3
23complete,32,complete_pickup,True,145,0.717,1.0,0.024,23.7,24.0
23complete,33,no_closure,False,150,0.0,nan,0.013,36.7,52.4
23complete,34,no_closure,False,144,0.0,nan,0.0,75.1,92.6
23complete,35,brief_closure,False,145,0.014,1.0,0.007,26.5,27.8
23complete,36,closure_no_lift,False,145,0.193,1.0,0.145,26.8,24.1
23complete,37,brief_closure,False,147,0.02,0.667,0.0,26.9,24.2
23complete,38,closure_no_lift,False,145,0.207,0.967,0.0,24.7,23.9
23complete,39,closure_no_lift,False,145,0.586,0.988,0.05,25.1,24.0
23complete,40,no_closure,False,145,0.0,nan,0.0,64.9,85.0
23complete,41,no_closure,False,147,0.211,0.0,0.0,40.9,29.2
23complete,42,closure_no_lift,False,145,0.09,0.846,0.015,24.4,24.0
23complete,43,closure_no_lift,False,145,0.159,0.87,0.0,25.5,30.0
23complete,44,complete_pickup,True,145,0.497,0.944,0.027,25.6,25.8
23complete,45,complete_pickup,True,147,0.626,1.0,0.0,24.0,23.6
23complete,46,closure_no_lift,False,145,0.055,1.0,0.029,24.3,24.0
23complete,47,no_closure,False,145,0.0,nan,0.0,40.2,66.8
23complete,48,complete_pickup,True,144,0.708,1.0,0.0,24.7,24.5
23complete,49,complete_pickup,True,145,0.276,1.0,0.0,26.7,26.8
23complete,50,closure_no_lift,False,145,0.269,0.872,0.0,26.1,25.1
23complete,51,complete_pickup,True,145,0.262,1.0,0.0,24.5,24.2
23complete,52,complete_pickup,True,145,0.469,1.0,0.0,28.5,29.3
23complete,53,complete_pickup,True,145,0.49,1.0,0.014,23.6,24.1
23complete,54,closure_no_lift,False,145,0.076,0.909,0.007,26.4,28.9
23complete,55,complete_pickup,True,145,0.352,1.0,0.011,24.0,24.1
23complete,56,closure_no_lift,False,145,0.483,0.9,0.08,24.2,24.2
23complete,57,brief_closure,False,145,0.0,nan,0.014,26.3,48.4
23complete,58,closure_no_lift,False,145,0.248,0.972,0.028,24.2,24.6
23complete,59,complete_pickup,True,145,0.421,1.0,0.0,24.2,24.3
23random,0,complete_pickup,False,145,1.0,0.669,nan,25.4,24.2
23random,1,no_closure,False,145,0.0,nan,0.0,65.4,89.4
23random,2,complete_pickup,False,145,0.517,0.853,0.057,23.3,24.4
23random,3,complete_pickup,False,145,0.545,1.0,0.091,23.8,24.1
23random,4,complete_pickup,True,145,0.641,0.989,0.038,23.2,23.3
23random,5,closure_no_lift,False,145,0.324,1.0,0.031,25.0,26.3
23random,6,closure_no_lift,True,145,0.2,1.0,0.0,24.3,24.6
23random,7,no_closure,False,145,1.0,1.0,nan,23.3,24.1
23random,8,closure_no_lift,True,145,0.255,1.0,0.0,23.2,23.7
23random,9,no_closure,False,145,0.0,nan,0.097,25.9,45.9
23random,10,closure_no_lift,True,145,0.545,1.0,0.0,26.7,27.3
23random,11,closure_no_lift,True,145,0.083,0.917,0.0,25.9,26.4
23random,12,complete_pickup,True,145,0.628,1.0,0.019,23.7,24.1
23random,13,no_closure,False,145,0.0,nan,0.0,93.4,97.7
23random,14,no_closure,True,145,0.0,nan,0.0,96.6,97.6
