ep,labelled,shoulder_pan,shoulder_lift,elbow_flex,position
0,True,91.4,-99.7,56.5,P1
1,False,,,,
2,True,14.9,52.6,-62.8,P3
3,True,9.5,83.2,-39.7,P3
4,True,14.1,42.3,-16.0,P3
5,True,10.2,54.4,-67.7,P3
6,False,,,,
7,False,,,,
8,True,6.1,75.8,-98.2,P5
9,False,,,,
10,True,16.3,76.8,-99.5,P4
11,True,13.6,69.6,-98.1,P4
12,True,22.9,85.2,-97.2,P4
13,False,,,,
14,False,,,,
15,True,19.4,56.7,-68.9,P3
16,True,22.2,74.3,-94.6,P4
17,False,,,,
18,True,17.1,86.2,-98.7,P5
19,False,,,,
20,False,,,,
21,False,,,,
22,True,20.6,53.7,-54.2,P3
23,True,22.8,43.1,-45.7,P3
24,True,11.3,74.5,-98.5,P5
25,True,15.3,73.0,-98.2,P4
26,True,22.5,99.3,-98.5,P2
27,True,23.4,76.3,-99.7,P4
28,True,17.6,77.3,-98.3,P4
29,True,25.2,75.2,-56.2,P3
30,False,,,,
31,True,24.2,42.9,-30.3,P3
32,False,,,,
33,False,,,,
34,False,,,,
35,False,,,,
36,True,4.0,56.4,-9.4,P3
37,False,,,,
38,True,11.5,87.9,-99.2,P5
39,True,14.9,66.3,-97.7,P4
40,False,,,,
41,False,,,,
42,True,22.2,78.3,-98.7,P4
43,True,17.0,76.5,-100.0,P4
44,False,,,,
45,True,11.1,81.8,-99.5,P5
46,True,9.3,80.3,-99.2,P5
47,False,,,,
48,False,,,,
49,False,,,,
50,True,8.8,23.0,-65.9,P3
51,True,24.4,80.0,-98.5,P4
52,False,,,,
53,True,17.1,45.8,-97.5,P4
54,True,11.1,79.4,-98.3,P5
55,False,,,,
56,True,19.2,20.3,-1.5,P3
57,False,,,,
58,True,12.1,75.3,-97.4,P5
59,True,18.8,79.9,-98.3,P4
