ep,frames,grip_min,n_closures,starts_closed,longest_closure,best_lift_gain,descent,verdict
0,722,25.4,1,False,707,94.1,0.1,complete_pickup
1,722,88.8,0,False,0,0.0,0.0,no_closure
2,722,25.9,2,True,158,34.2,0.0,complete_pickup
3,722,23.9,2,True,243,41.4,101.3,complete_pickup
4,722,24.1,3,True,244,10.5,186.1,complete_pickup
5,722,26.6,1,False,222,2.3,57.2,closure_no_lift
6,722,24.7,1,True,147,9.5,33.3,closure_no_lift
7,722,59.1,0,False,0,0.0,0.0,no_closure
8,722,25.9,1,False,34,0.7,0.0,closure_no_lift
9,721,46.0,0,False,0,0.0,0.2,no_closure
10,722,29.1,1,True,395,0.0,0.0,closure_no_lift
11,722,27.8,1,False,57,0.0,0.0,closure_no_lift
12,722,25.9,2,True,285,81.7,2.3,complete_pickup
13,721,97.2,0,False,0,0.0,1.4,no_closure
14,721,95.5,0,False,0,0.0,152.4,no_closure
15,722,32.1,1,False,128,0.7,33.7,closure_no_lift
16,722,25.5,3,True,171,68.0,2.7,complete_pickup
17,722,81.9,0,False,0,0.0,21.6,no_closure
18,722,25.6,1,False,52,0.9,25.2,closure_no_lift
19,722,24.3,1,True,427,25.5,40.9,complete_pickup
20,722,98.0,0,False,0,0.0,164.5,no_closure
21,720,99.3,0,False,0,0.0,53.4,no_closure
22,722,25.6,2,True,418,129.6,0.0,complete_pickup
23,722,27.8,2,False,197,22.5,2.4,complete_pickup
24,722,25.8,2,True,310,78.0,13.7,complete_pickup
25,722,26.6,2,False,54,2.8,0.0,closure_no_lift
26,722,26.8,1,False,24,0.0,0.0,closure_no_lift
27,722,24.6,3,True,248,75.4,0.0,complete_pickup
28,721,29.2,1,False,44,7.7,0.0,closure_no_lift
29,722,25.5,2,False,138,10.2,0.0,complete_pickup
30,722,32.2,1,True,198,53.6,0.0,complete_pickup
31,711,25.3,1,True,212,0.2,149.2,closure_no_lift
32,722,25.3,1,True,370,78.0,28.8,complete_pickup
33,749,53.4,0,False,0,0.0,0.2,no_closure
34,719,91.9,0,False,0,0.0,0.0,no_closure
35,722,36.6,0,False,0,0.0,46.7,brief_closure
36,721,29.0,1,False,132,7.8,5.2,closure_no_lift
37,731,32.1,0,False,0,0.0,7.6,brief_closure
38,722,25.2,1,False,144,1.0,0.0,closure_no_lift
39,722,24.1,2,True,409,0.1,124.0,closure_no_lift
40,722,84.8,0,False,0,0.0,9.4,no_closure
41,732,58.9,0,False,0,0.0,99.3,no_closure
42,722,24.8,2,False,34,2.7,75.4,closure_no_lift
43,722,32.8,1,False,97,0.2,9.9,closure_no_lift
44,722,27.0,1,True,274,72.5,0.0,complete_pickup
45,732,25.3,2,True,346,69.6,0.0,complete_pickup
46,722,24.1,1,False,44,1.8,0.0,closure_no_lift
47,722,65.4,0,False,0,0.0,187.0,no_closure
48,719,25.8,1,True,511,75.2,0.0,complete_pickup
49,722,27.8,1,True,203,83.5,5.6,complete_pickup
50,722,26.1,1,False,165,0.0,3.4,closure_no_lift
51,722,26.1,2,True,169,73.1,0.0,complete_pickup
52,722,30.2,1,True,344,54.1,0.0,complete_pickup
53,722,25.5,2,True,218,74.6,0.2,complete_pickup
54,722,33.3,2,False,31,0.2,0.0,closure_no_lift
55,722,25.4,1,True,260,61.1,14.4,complete_pickup
56,722,25.3,2,True,284,0.0,130.2,closure_no_lift
57,722,25.2,0,True,0,0.0,9.6,brief_closure
58,722,25.6,2,True,120,0.0,62.7,closure_no_lift
59,722,26.0,2,True,268,72.6,0.0,complete_pickup
